problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,0.0133000000,0.2375658699,-0.0600000000,0.00,0.00,589489010
hubbard_hts_core,1400,0.0133000000,0.2375658699,-0.1200000000,0.00,0.00,1172078722
hubbard_hts_core,2100,0.0133000000,0.2375658699,-0.0200000000,0.00,0.00,1755472352
hubbard_hts_core,2800,0.0133000000,0.2375658699,-0.1200000000,0.00,0.00,2380891803
qcd_lattice_proxy,700,0.0223593964,0.1189473892,0.1604938272,0.00,0.00,586958521
qcd_lattice_proxy,1400,0.0223593964,0.1189473892,0.0617283951,0.00,0.00,1174184131
qcd_lattice_proxy,2100,0.0223593964,0.1189473892,0.0617283951,0.00,0.00,1763977453
qcd_lattice_proxy,2200,0.0223593964,0.1189473892,0.2592592593,0.00,0.00,1844526032
quantum_field_noneq,700,0.0172485352,0.0643275852,0.1562500000,0.00,0.00,588772392
quantum_field_noneq,1400,0.0172485352,0.0643275852,0.0625000000,0.00,0.00,1170457892
quantum_field_noneq,2100,0.0172485352,0.0643275852,-0.1250000000,0.00,0.00,1755500444
quantum_field_noneq,2100,0.0172485352,0.0643275852,-0.1250000000,0.00,0.00,1772948404
dense_nuclear_proxy,700,0.0285964723,0.2994933995,0.0000000000,0.00,0.00,598371561
dense_nuclear_proxy,1400,0.0285964723,0.2994933995,0.1666666667,0.00,0.00,1204914912
dense_nuclear_proxy,2100,0.0285964723,0.2994933995,0.1111111111,0.00,0.00,1760098915
dense_nuclear_proxy,2100,0.0285964723,0.2994933995,0.1111111111,0.00,0.00,1759691065
quantum_chemistry_proxy,700,0.0089801186,0.4077191336,0.0357142857,0.00,0.00,586697661
quantum_chemistry_proxy,1400,0.0089801186,0.4077191336,-0.0714285714,0.00,0.00,1179959664
quantum_chemistry_proxy,2100,0.0089801186,0.4077191336,0.0000000000,0.00,0.00,1760803435
quantum_chemistry_proxy,2200,0.0089801186,0.4077191336,-0.0714285714,0.00,0.00,1843911554
spin_liquid_exotic,700,0.0172850349,0.4393995648,0.1000000000,0.00,0.00,587323442
spin_liquid_exotic,1400,0.0172850349,0.4393995648,-0.0166666667,0.00,0.00,1169713184
spin_liquid_exotic,2100,0.0172850349,0.4393995648,0.0000000000,0.00,0.00,1757271606
spin_liquid_exotic,2600,0.0172850349,0.4393995648,-0.0166666667,0.00,0.00,2169749210
topological_correlated_materials,700,0.0106106140,0.3488429531,0.0082644628,0.00,0.00,581448223
topological_correlated_materials,1400,0.0106106140,0.3488429531,-0.2561983471,0.00,0.00,1167881814
topological_correlated_materials,2100,0.0106106140,0.3488429531,-0.1074380165,0.00,0.00,1750727157
topological_correlated_materials,2500,0.0106106140,0.3488429531,0.1404958678,0.00,0.00,2079471243
correlated_fermions_non_hubbard,700,0.0156595185,0.2771488868,0.0888888889,0.00,0.00,584231552
correlated_fermions_non_hubbard,1400,0.0156595185,0.2771488868,0.0000000000,0.00,0.00,1167635075
correlated_fermions_non_hubbard,2100,0.0156595185,0.2771488868,-0.0222222222,0.00,0.00,1756955537
correlated_fermions_non_hubbard,2400,0.0156595185,0.2771488868,0.0666666667,0.00,0.00,2011124465
multi_state_excited_chemistry,700,0.0097820454,0.4898336793,0.0370370370,0.00,0.00,585611153
multi_state_excited_chemistry,1400,0.0097820454,0.4898336793,-0.0123456790,0.00,0.00,1174941825
multi_state_excited_chemistry,2100,0.0097820454,0.4898336793,-0.0123456790,0.00,0.00,1761987748
multi_state_excited_chemistry,2300,0.0097820454,0.4898336793,-0.2345679012,0.00,0.00,1932337176
bosonic_multimode_systems,700,0.0119661377,0.1887180178,-0.0250000000,0.00,0.00,584994603
bosonic_multimode_systems,1400,0.0119661377,0.1887180178,-0.0500000000,0.00,0.00,1171591736
bosonic_multimode_systems,2100,0.0119661377,0.1887180178,-0.1000000000,0.00,0.00,1757827969
bosonic_multimode_systems,2200,0.0119661377,0.1887180178,-0.0500000000,0.00,0.00,1838121828
multiscale_nonlinear_field_models,700,0.0161196366,0.1497559212,0.0833333333,0.00,0.00,583448633
multiscale_nonlinear_field_models,1400,0.0161196366,0.1497559212,-0.0208333333,0.00,0.00,1168743597
multiscale_nonlinear_field_models,2100,0.0161196366,0.1497559212,0.0833333333,0.00,0.00,1759857499
multiscale_nonlinear_field_models,2300,0.0161196366,0.1497559212,0.0208333333,0.00,0.00,2020842127
far_from_equilibrium_kinetic_lattices,700,0.0145459583,0.1019329825,-0.0505050505,0.00,0.00,621201083
far_from_equilibrium_kinetic_lattices,1400,0.0145459583,0.1019329825,-0.0505050505,0.00,0.00,1172031167
far_from_equilibrium_kinetic_lattices,2100,0.0145459583,0.1019329825,0.0303030303,0.00,0.00,1745444840
far_from_equilibrium_kinetic_lattices,2400,0.0145459583,0.1019329825,0.0303030303,0.00,0.00,2028589887
multi_correlated_fermion_boson_networks,700,0.0121900000,0.2199767491,0.0800000000,0.00,0.00,582265644
multi_correlated_fermion_boson_networks,1400,0.0121900000,0.2199767491,0.0800000000,0.00,0.00,1160781117
multi_correlated_fermion_boson_networks,2100,0.0121900000,0.2199767491,0.1200000000,0.00,0.00,1785721531
multi_correlated_fermion_boson_networks,2350,0.0121900000,0.2199767491,0.0600000000,0.00,0.00,1961490999
