problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.0863059004,-0.0863085153,-2.614900000003084e-06,-0.00302980443733727,0.9295282309,0.9295228359,-5.395000000074646e-06,-0.000580401952380836,1765039263,1809605747
correlated_fermions_non_hubbard,-0.1950194254,-0.1950236712,-4.245799999996747e-06,-0.00217711645457281,0.9534011619,0.9533895631,-1.1598800000012233e-05,-0.001216570785051005,1934397809,1933632099
dense_nuclear_proxy,-0.024781756,-0.024772531,9.224999999998124e-06,0.03722496501054293,0.950604722,0.9505965177,-8.204300000036469e-06,-0.0008630611452018928,1701650509,1740319955
far_from_equilibrium_kinetic_lattices,-0.1683806017,-0.1683947889,-1.4187200000015388e-05,-0.008425673656453853,0.9169917251,0.9170158449,2.411979999994429e-05,0.002630318174061382,1935842856,1984674420
hubbard_hts_core,-0.1788520602,-0.1788538893,-1.8291000000170143e-06,-0.0010226888065877667,0.9520544187,0.9520484569,-5.961800000009454e-06,-0.0006262037004302866,2264355651,2312885732
multi_correlated_fermion_boson_networks,-0.1764686718,-0.1764757408,-7.068999999998438e-06,-0.004005810168963054,0.9457683058,0.9457767873,8.481499999990483e-06,0.0008967841222820645,1930623287,1955939459
multi_state_excited_chemistry,-0.256522035,-0.2565015599,2.0475099999972546e-05,0.00798180943791926,0.9691652743,0.9691637413,-1.532999999942497e-06,-0.00015817735535868623,1876465571,1860828762
multiscale_nonlinear_field_models,-0.2354472271,-0.2354530183,-5.791200000021535e-06,-0.00245965946227172,0.9303939065,0.9303932276,-6.788999999951528e-07,-7.296909354759976e-05,1848812656,1916150986
qcd_lattice_proxy,-0.0522872581,-0.0522939761,-6.718000000002777e-06,-0.012848254515764669,0.9155370518,0.915551565,1.4513200000010329e-05,0.0015852116494331407,1760742027,1801533007
quantum_chemistry_proxy,-0.255319073,-0.255276879,4.21939999999954e-05,0.01652598824843587,0.9529006886,0.9528975325,-3.1561000000124295e-06,-0.00033120975121230797,1760868951,1802598209
quantum_field_noneq,-0.1949273885,-0.1949319465,-4.558000000015605e-06,-0.002338306604880004,0.883858238,0.8838615996,3.3616000000291635e-06,0.00038033248495095926,1682147705,1694898793
spin_liquid_exotic,-0.1341125176,-0.1341133163,-7.986999999987088e-07,-0.0005955447070055664,0.9721262259,0.9721212509,-4.974999999962648e-06,-0.000511764816894716,2180150574,2118925352
topological_correlated_materials,-0.189357042,-0.1893553669,1.6751000000148064e-06,0.0008846251411208706,0.9657535779,0.9657644351,1.0857199999936284e-05,0.001124220530825774,2103412015,2048819514
