problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,1.9745923269,0.8661235790,-1.0000000000,13.50,53.87,2040568
hubbard_hts_core,100,1.9828257763,0.8624306734,-1.0000000000,13.50,53.87,85219102
hubbard_hts_core,200,1.9839568331,0.8543044008,-1.0000000000,13.50,53.87,168654885
hubbard_hts_core,300,1.9842289668,0.8517210390,-1.0000000000,13.50,53.86,251561638
hubbard_hts_core,400,1.9843555259,0.8505575247,-1.0000000000,13.50,53.86,334221402
hubbard_hts_core,500,1.9844209465,0.8506544757,-1.0000000000,13.50,53.86,417537915
hubbard_hts_core,600,1.9844616534,0.8510727948,-1.0000000000,13.50,53.86,500482828
hubbard_hts_core,700,1.9844822995,0.8511807807,-1.0000000000,13.50,53.86,583224562
hubbard_hts_core,800,1.9844941348,0.8513954127,-1.0000000000,13.50,53.86,666041605
hubbard_hts_core,900,1.9845029226,0.8515637809,-1.0000000000,13.50,53.86,748967708
hubbard_hts_core,1000,1.9845113799,0.8512929867,-1.0000000000,13.50,53.86,831737112
hubbard_hts_core,1100,1.9845211156,0.8515415700,-1.0000000000,13.50,53.86,914910065
hubbard_hts_core,1200,1.9845335947,0.8523852287,-1.0000000000,13.50,53.86,998143168
hubbard_hts_core,1300,1.9845505576,0.8524816300,-1.0000000000,13.50,53.86,1081072342
hubbard_hts_core,1400,1.9845741259,0.8526264814,-1.0000000000,13.50,53.86,1164292655
hubbard_hts_core,1500,1.9846052428,0.8515663666,-1.0000000000,13.50,53.86,1247458788
hubbard_hts_core,1600,1.9846390392,0.8500524913,-1.0000000000,13.50,53.86,1330186772
hubbard_hts_core,1700,1.9846689129,0.8489634470,-1.0000000000,13.50,53.86,1413674645
hubbard_hts_core,1800,1.9846924498,0.8475748972,-1.0000000000,13.50,53.86,1496432628
hubbard_hts_core,1900,1.9847062978,0.8468738256,-1.0000000000,13.50,53.86,1579386012
hubbard_hts_core,2000,1.9847132986,0.8465968370,-1.0000000000,13.50,53.87,1664586473
hubbard_hts_core,2100,1.9847169571,0.8466529868,-1.0000000000,13.50,53.87,1751773033
hubbard_hts_core,2200,1.9847187963,0.8467688572,-1.0000000000,13.50,53.86,1835958295
hubbard_hts_core,2300,1.9847197293,0.8468438781,-1.0000000000,13.50,53.86,1919263408
hubbard_hts_core,2400,1.9847202541,0.8469985981,-1.0000000000,13.50,53.86,2005314979
hubbard_hts_core,2500,1.9847206019,0.8470830692,-1.0000000000,13.50,53.84,2088464882
hubbard_hts_core,2600,1.9847208724,0.8468054643,-1.0000000000,13.50,53.85,2172062465
hubbard_hts_core,2700,1.9847211096,0.8466944264,-1.0000000000,13.50,53.85,2255069609
qcd_lattice_fullscale,0,2.2115701842,0.7877814299,-1.0000000000,13.50,53.84,907590
qcd_lattice_fullscale,100,2.2183077515,0.7814130574,-1.0000000000,13.50,53.84,83929263
qcd_lattice_fullscale,200,2.2203858203,0.7725199565,-1.0000000000,13.50,53.84,166747426
qcd_lattice_fullscale,300,2.2209070074,0.7701460273,-1.0000000000,13.50,53.84,249875520
qcd_lattice_fullscale,400,2.2211013090,0.7683911023,-1.0000000000,13.50,53.84,332887003
qcd_lattice_fullscale,500,2.2211894141,0.7662432436,-1.0000000000,13.50,53.84,415936086
qcd_lattice_fullscale,600,2.2212513466,0.7636431939,-1.0000000000,13.50,53.84,498501940
qcd_lattice_fullscale,700,2.2212891644,0.7625893094,-1.0000000000,13.50,53.84,581577003
qcd_lattice_fullscale,800,2.2213075974,0.7624177427,-1.0000000000,13.50,53.84,666376915
qcd_lattice_fullscale,900,2.2213151126,0.7625734250,-1.0000000000,13.50,53.84,749655598
qcd_lattice_fullscale,1000,2.2213175754,0.7624301045,-1.0000000000,13.50,53.84,832367892
qcd_lattice_fullscale,1100,2.2213180898,0.7623237728,-1.0000000000,13.50,53.84,914999875
qcd_lattice_fullscale,1200,2.2213179167,0.7622141476,-1.0000000000,13.50,53.83,997871169
qcd_lattice_fullscale,1300,2.2213175749,0.7617870347,-1.0000000000,13.50,53.84,1081495462
qcd_lattice_fullscale,1400,2.2213173298,0.7617504806,-1.0000000000,13.50,53.83,1164295405
qcd_lattice_fullscale,1500,2.2213173549,0.7621156370,-1.0000000000,13.50,53.83,1246892459
qcd_lattice_fullscale,1600,2.2213177200,0.7622376501,-1.0000000000,13.50,53.83,1329389623
qcd_lattice_fullscale,1700,2.2213183398,0.7622299193,-1.0000000000,13.50,53.84,1412047776
qcd_lattice_fullscale,1800,2.2213190140,0.7623684958,-1.0000000000,13.50,53.84,1494746620
qcd_lattice_fullscale,1900,2.2213195574,0.7626057536,-1.0000000000,13.50,53.84,1577424563
qcd_lattice_fullscale,2000,2.2213198918,0.7627147166,-1.0000000000,13.50,53.84,1659871187
qcd_lattice_fullscale,2100,2.2213200331,0.7624936121,-1.0000000000,13.50,53.84,1742508481
