problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-25.3327027517,99.7079476457,-0.0400000000,18.61,75.67,942160
hubbard_hts_core,100,-2451.4123879353,9934.2996379759,0.0081188119,18.61,75.67,81038249
hubbard_hts_core,200,-4724.5076812523,19659.1815747055,0.0046766169,18.61,75.66,156802758
hubbard_hts_core,300,-6808.2110964872,29302.6643065477,-0.0007308970,18.61,75.66,226861787
hubbard_hts_core,400,-8530.9327066274,38826.6333438222,-0.0010972569,18.61,75.66,299114665
hubbard_hts_core,500,-9785.9948651306,48223.7610279538,-0.0002794411,18.61,75.66,375484544
hubbard_hts_core,600,-10161.9532435754,57454.5108737258,0.0020299501,18.61,75.66,450795693
hubbard_hts_core,700,-8399.7725360135,66429.8916707475,0.0021968616,18.61,75.66,523619322
hubbard_hts_core,800,-2332.7247023032,75040.3018557645,0.0006991261,18.61,75.66,596216841
hubbard_hts_core,900,11814.6690405440,83221.9392671542,-0.0004661487,18.61,75.66,675432129
hubbard_hts_core,1000,36851.8126760151,90973.9205415079,-0.0011388611,18.61,75.66,754118208
hubbard_hts_core,1100,72291.8313531394,98299.1524595576,-0.0016893733,18.61,75.67,833060037
hubbard_hts_core,1200,117492.5124370022,105231.4488643268,-0.0023147377,18.61,75.67,909715246
hubbard_hts_core,1300,171059.7311766527,111853.8147306630,-0.0026594927,18.61,75.67,985618024
hubbard_hts_core,1400,232362.2082232313,118179.4199893170,-0.0026552463,18.61,75.68,1056933143
hubbard_hts_core,1500,299221.7283896144,124254.9600090182,-0.0012791472,18.61,75.67,1131330842
hubbard_hts_core,1600,372047.0811679452,130128.8007914095,-0.0007245472,18.61,75.67,1204119651
hubbard_hts_core,1700,449428.9694101125,135873.8776394879,-0.0009876543,18.61,75.67,1278120750
hubbard_hts_core,1800,529480.0676372427,141543.1338851580,-0.0013659078,18.61,75.67,1356796978
hubbard_hts_core,1900,610844.0390047064,147173.5808651521,-0.0011783272,18.61,75.68,1430784527
hubbard_hts_core,2000,692631.7203196476,152787.7536017250,-0.0013093453,18.61,75.68,1508218846
hubbard_hts_core,2100,774576.8195894039,158396.0984008047,-0.0015801999,18.61,75.68,1590658455
hubbard_hts_core,2200,856623.4894955960,164004.9364296283,-0.0011812812,18.61,75.68,1671559783
hubbard_hts_core,2300,938628.1993568778,169622.9170062479,-0.0008604954,18.61,75.68,1744264852
hubbard_hts_core,2400,1020588.3524773844,175241.3776704389,-0.0008579758,18.61,75.68,1815416351
hubbard_hts_core,2500,1102668.0031888464,180854.0404636000,-0.0003198721,18.61,75.68,1898085790
hubbard_hts_core,2600,1184763.8047355812,186466.3728712836,-0.0006843522,18.61,75.68,1968224618
hubbard_hts_core,2700,1266799.9854127853,192079.9176118617,-0.0010218438,18.61,75.69,2038050677
qcd_lattice_proxy,0,-13.4302643999,80.6743673463,-0.0123456790,18.61,75.69,827450
qcd_lattice_proxy,100,-1342.5513610857,7968.9418456287,0.0023224545,18.61,75.69,70897289
qcd_lattice_proxy,200,-2504.1543443977,15727.5448640154,0.0069406056,18.61,75.69,140998528
qcd_lattice_proxy,300,-3507.4145767386,23397.0520978553,-0.0035683524,18.61,75.69,210849037
qcd_lattice_proxy,400,-4151.9349054425,30940.5767620948,-0.0036021058,18.61,75.69,281719946
qcd_lattice_proxy,500,-4182.2018802083,38346.5291974189,-0.0024888495,18.61,75.69,352503204
qcd_lattice_proxy,600,-3143.2581045032,45493.3302217902,-0.0040878371,18.61,75.69,422248903
qcd_lattice_proxy,700,134.8073673961,52327.1105806181,-0.0032933552,18.61,75.69,496119102
qcd_lattice_proxy,800,8028.8624579713,58711.5661253685,-0.0023581634,18.61,75.69,568003541
qcd_lattice_proxy,900,24998.1882587725,64535.7048031954,-0.0000685110,18.61,75.69,645062760
qcd_lattice_proxy,1000,53530.4968357184,69855.2645388427,0.0008263342,18.61,75.68,731045768
qcd_lattice_proxy,1100,93559.0261743740,74721.4726748191,0.0014240701,18.61,75.68,806497097
qcd_lattice_proxy,1200,142029.8238773366,79227.5501443485,0.0015316454,18.61,75.68,879525546
qcd_lattice_proxy,1300,195663.7860853985,83457.2277358470,0.0011482146,18.61,75.68,949280425
qcd_lattice_proxy,1400,253925.9622932329,87455.0021710732,0.0006785277,18.61,75.68,1031934833
qcd_lattice_proxy,1500,316792.1546957220,91256.3831456642,0.0013077701,18.61,75.68,1101658822
