event,timestamp_utc,timestamp_ns,pid,detail,value
METRIC,2026-03-14T06:51:35Z,229672241225546,7551,simulate_adv:temp_K,60.0000000000
METRIC,2026-03-14T06:51:35Z,229672241255156,7551,simulate_adv:U_eV,6.5000000000
METRIC,2026-03-14T06:51:35Z,229672241284956,7551,simulate_adv:local_pair_site0_step0,0.6439560412
METRIC,2026-03-14T06:51:35Z,229672241314726,7551,simulate_adv:d_site0_step0,0.1980566490
METRIC,2026-03-14T06:51:35Z,229672241350186,7551,simulate_adv:step_pairing_norm_step0,0.7636584703
METRIC,2026-03-14T06:51:35Z,229672241379776,7551,simulate_adv:step_energy_norm_step0,1.5927403563
MODULE_END,2026-03-14T06:51:35Z,229672253929645,7551,simulate_adv:quantum_chemistry_fullscale,12782489
METRIC,2026-03-14T06:51:35Z,229672253957065,7551,simulate_adv:pairing_final,0.7281906189
METRIC,2026-03-14T06:51:35Z,229672253988235,7551,simulate_adv:energy_final_eV,1.6206798846
METRIC,2026-03-14T06:51:35Z,229672254026935,7551,simulate_adv:sign_ratio_final,0.2142857143
METRIC,2026-03-14T06:51:35Z,229672254056675,7551,simulate_adv:elapsed_ns,12782289.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672254094685,7551,simulate_adv,spin_liquid_exotic
METRIC,2026-03-14T06:51:35Z,229672254113685,7551,simulate_adv:sites,120.0000000000
METRIC,2026-03-14T06:51:35Z,229672254143935,7551,simulate_adv:steps,2600.0000000000
METRIC,2026-03-14T06:51:35Z,229672254173965,7551,simulate_adv:temp_K,55.0000000000
METRIC,2026-03-14T06:51:35Z,229672254203605,7551,simulate_adv:U_eV,10.5000000000
METRIC,2026-03-14T06:51:35Z,229672254233585,7551,simulate_adv:local_pair_site0_step0,0.7146239067
METRIC,2026-03-14T06:51:35Z,229672254271795,7551,simulate_adv:d_site0_step0,-0.1649450982
METRIC,2026-03-14T06:51:35Z,229672254318325,7551,simulate_adv:step_pairing_norm_step0,0.8268866814
METRIC,2026-03-14T06:51:35Z,229672254348125,7551,simulate_adv:step_energy_norm_step0,2.5946963080
MODULE_END,2026-03-14T06:51:35Z,229672284785965,7551,simulate_adv:spin_liquid_exotic,30691280
METRIC,2026-03-14T06:51:35Z,229672284825645,7551,simulate_adv:pairing_final,0.8084310399
METRIC,2026-03-14T06:51:35Z,229672284873405,7551,simulate_adv:energy_final_eV,2.6034400942
METRIC,2026-03-14T06:51:35Z,229672284907005,7551,simulate_adv:sign_ratio_final,0.0666666667
METRIC,2026-03-14T06:51:35Z,229672284943165,7551,simulate_adv:elapsed_ns,30691110.0000000000
