problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,0.9572910197,0.9572910197,0.0,0.0,0.1887180178,0.1887180178,0.0,0.0,1761147461,1743525729
correlated_fermions_non_hubbard,1.4093566643,1.4093566643,0.0,0.0,0.2771488868,0.2771488868,0.0,0.0,1935806018,1917696730
dense_nuclear_proxy,2.0589460076,2.0589460076,0.0,0.0,0.2994933995,0.2994933995,0.0,0.0,1677628971,1679480408
far_from_equilibrium_kinetic_lattices,1.4400498706,1.4400498706,0.0,0.0,0.1019329825,0.1019329825,0.0,0.0,1927590409,1932451761
hubbard_hts_core,1.33,1.33,0.0,0.0,0.2375658699,0.2375658699,0.0,0.0,2279527409,2274188153
multi_correlated_fermion_boson_networks,1.219,1.219,0.0,0.0,0.2199767491,0.2199767491,0.0,0.0,1928605079,1939071272
multi_state_excited_chemistry,0.792345679,0.792345679,0.0,0.0,0.4898336793,0.4898336793,0.0,0.0,1845324220,1839002080
multiscale_nonlinear_field_models,1.5474851175,1.5474851175,0.0,0.0,0.1497559212,0.1497559212,0.0,0.0,1846022389,1839613200
qcd_lattice_proxy,1.8111111111,1.8111111111,0.0,0.0,0.1189473892,0.1189473892,0.0,0.0,1765667359,1753393678
quantum_chemistry_proxy,0.5028866396,0.5028866396,0.0,0.0,0.4077191336,0.4077191336,0.0,0.0,1748827209,1757273558
quantum_field_noneq,1.10390625,1.10390625,0.0,0.0,0.0643275852,0.0643275852,0.0,0.0,1663810561,1670494927
spin_liquid_exotic,2.0742041918,2.0742041918,0.0,0.0,0.4393995648,0.4393995648,0.0,0.0,2096785564,2109888403
topological_correlated_materials,1.2838842975,1.2838842975,0.0,0.0,0.3488429531,0.3488429531,0.0,0.0,2011732096,2004637712
