problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,1.9745923269,0.8661235790,0.0600000000,19.83,82.29,1832070
hubbard_hts_core,100,1.9828257763,0.8624306734,0.0800000000,19.83,82.28,56276590
hubbard_hts_core,200,1.9839568331,0.8543044008,-0.0200000000,19.83,82.28,110514429
hubbard_hts_core,300,1.9842289668,0.8517210390,0.0600000000,19.83,82.28,164299318
hubbard_hts_core,400,1.9843555259,0.8505575247,0.1600000000,19.83,82.28,218314738
hubbard_hts_core,500,1.9844209465,0.8506544757,0.0200000000,19.83,82.28,272182397
hubbard_hts_core,600,1.9844616534,0.8510727948,0.1200000000,19.83,82.28,327130046
hubbard_hts_core,700,1.9844822995,0.8511807807,0.0200000000,19.83,82.28,387470096
hubbard_hts_core,800,1.9844941348,0.8513954127,-0.0400000000,19.83,82.28,441512575
hubbard_hts_core,900,1.9845029226,0.8515637809,-0.0200000000,19.83,82.28,494900904
hubbard_hts_core,1000,1.9845113799,0.8512929867,0.2400000000,19.83,82.28,549230074
hubbard_hts_core,1100,1.9845211156,0.8515415700,-0.0400000000,19.83,82.28,602638353
hubbard_hts_core,1200,1.9845335947,0.8523852287,-0.2000000000,19.83,82.25,657711752
hubbard_hts_core,1300,1.9845505576,0.8524816300,0.0800000000,19.83,82.25,713220572
hubbard_hts_core,1400,1.9845741259,0.8526264814,0.0600000000,19.83,82.25,766476731
hubbard_hts_core,1500,1.9846052428,0.8515663666,0.1000000000,19.83,82.25,819320720
hubbard_hts_core,1600,1.9846390392,0.8500524913,-0.0600000000,19.83,82.25,872513819
hubbard_hts_core,1700,1.9846689129,0.8489634470,-0.1800000000,19.83,82.25,926194309
hubbard_hts_core,1800,1.9846924498,0.8475748972,-0.1800000000,19.83,82.25,979324968
hubbard_hts_core,1900,1.9847062978,0.8468738256,0.1000000000,19.83,82.25,1032826997
hubbard_hts_core,2000,1.9847132986,0.8465968370,0.0200000000,19.83,82.25,1086135797
hubbard_hts_core,2100,1.9847169571,0.8466529868,0.0600000000,19.83,82.25,1140607646
hubbard_hts_core,2200,1.9847187963,0.8467688572,0.1000000000,19.83,82.25,1194474026
hubbard_hts_core,2300,1.9847197293,0.8468438781,0.0400000000,19.83,82.25,1248916285
hubbard_hts_core,2400,1.9847202541,0.8469985981,0.1200000000,19.83,82.25,1302804484
hubbard_hts_core,2500,1.9847206019,0.8470830692,0.0200000000,19.83,82.25,1356308033
hubbard_hts_core,2600,1.9847208724,0.8468054643,0.1400000000,19.83,82.25,1410745953
hubbard_hts_core,2700,1.9847211096,0.8466944264,0.0200000000,19.83,82.25,1468258812
qcd_lattice_fullscale,0,2.2115701842,0.7877814299,-0.0864197531,19.83,82.25,586420
qcd_lattice_fullscale,100,2.2183077515,0.7814130574,-0.1111111111,19.83,82.25,53133919
qcd_lattice_fullscale,200,2.2203858203,0.7725199565,-0.0617283951,19.83,82.25,105916818
qcd_lattice_fullscale,300,2.2209070074,0.7701460273,0.1851851852,19.83,82.25,158617098
qcd_lattice_fullscale,400,2.2211013090,0.7683911023,-0.1851851852,19.83,82.25,211621127
qcd_lattice_fullscale,500,2.2211894141,0.7662432436,-0.0864197531,19.83,82.25,264289956
qcd_lattice_fullscale,600,2.2212513466,0.7636431939,0.0370370370,19.83,82.25,317137685
qcd_lattice_fullscale,700,2.2212891644,0.7625893094,0.2345679012,19.83,82.25,369506755
qcd_lattice_fullscale,800,2.2213075974,0.7624177427,-0.1111111111,19.83,82.23,425413864
qcd_lattice_fullscale,900,2.2213151126,0.7625734250,-0.0123456790,19.83,82.23,478461474
qcd_lattice_fullscale,1000,2.2213175754,0.7624301045,-0.0864197531,19.83,82.23,531866093
qcd_lattice_fullscale,1100,2.2213180898,0.7623237728,0.1111111111,19.83,82.23,585141612
qcd_lattice_fullscale,1200,2.2213179167,0.7622141476,-0.0617283951,19.83,82.23,638084761
qcd_lattice_fullscale,1300,2.2213175749,0.7617870347,0.0617283951,19.83,82.23,691413041
qcd_lattice_fullscale,1400,2.2213173298,0.7617504806,0.2592592593,19.83,82.23,745699270
qcd_lattice_fullscale,1500,2.2213173549,0.7621156370,0.0123456790,19.83,82.23,798512919
qcd_lattice_fullscale,1600,2.2213177200,0.7622376501,-0.0617283951,19.83,82.23,851606329
qcd_lattice_fullscale,1700,2.2213183398,0.7622299193,0.0370370370,19.83,82.22,904880788
qcd_lattice_fullscale,1800,2.2213190140,0.7623684958,-0.0617283951,19.83,82.22,957794878
qcd_lattice_fullscale,1900,2.2213195574,0.7626057536,0.2345679012,19.83,82.22,1011292967
