problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,0.0000257143,1.0000000000,-0.0600000000,0.00,0.00,584159849
hubbard_hts_core,1400,0.0000128571,1.0000000000,-0.1200000000,0.00,0.00,1195473779
hubbard_hts_core,2100,0.0000085714,1.0000000000,-0.0200000000,0.00,0.00,1893336588
hubbard_hts_core,2800,0.0000064286,1.0000000000,-0.1200000000,0.00,0.00,2495214657
qcd_lattice_fullscale,700,0.0000379189,1.0000000000,0.0123456790,0.00,0.00,607090249
qcd_lattice_fullscale,1400,0.0000189594,1.0000000000,0.0864197531,0.00,0.00,1196989169
qcd_lattice_fullscale,2100,0.0000126396,1.0000000000,0.0370370370,0.00,0.00,1757763347
qcd_lattice_fullscale,2200,0.0000120651,1.0000000000,-0.0370370370,0.00,0.00,1841370048
quantum_field_noneq,700,0.0000379464,1.0000000000,0.1562500000,0.00,0.00,580090230
quantum_field_noneq,1400,0.0000189732,1.0000000000,0.0625000000,0.00,0.00,1159394278
quantum_field_noneq,2100,0.0000126488,1.0000000000,-0.1250000000,0.00,0.00,1747761148
quantum_field_noneq,2100,0.0000126488,1.0000000000,-0.1250000000,0.00,0.00,1763354168
dense_nuclear_fullscale,700,0.0000486111,1.0000000000,0.0277777778,0.00,0.00,581050989
dense_nuclear_fullscale,1400,0.0000243056,1.0000000000,0.0833333333,0.00,0.00,1157068138
dense_nuclear_fullscale,2100,0.0000162037,1.0000000000,-0.0555555556,0.00,0.00,1794569658
dense_nuclear_fullscale,2100,0.0000162037,1.0000000000,-0.0555555556,0.00,0.00,1739729648
quantum_chemistry_fullscale,700,0.0000312500,1.0000000000,0.0714285714,0.00,0.00,583093479
quantum_chemistry_fullscale,1400,0.0000156250,1.0000000000,-0.1428571429,0.00,0.00,1165122619
quantum_chemistry_fullscale,2100,0.0000104167,1.0000000000,0.1428571429,0.00,0.00,1740897538
quantum_chemistry_fullscale,2200,0.0000099432,1.0000000000,0.0714285714,0.00,0.00,1900381918
spin_liquid_exotic,700,0.0000298214,1.0000000000,0.1000000000,0.00,0.00,582493579
spin_liquid_exotic,1400,0.0000149107,1.0000000000,-0.0166666667,0.00,0.00,1166814809
spin_liquid_exotic,2100,0.0000099405,1.0000000000,0.0000000000,0.00,0.00,1754969647
spin_liquid_exotic,2600,0.0000080288,1.0000000000,-0.0166666667,0.00,0.00,2168329727
topological_correlated_materials,700,0.0000212515,1.0000000000,0.0082644628,0.00,0.00,584341139
topological_correlated_materials,1400,0.0000106257,1.0000000000,-0.2561983471,0.00,0.00,1170209709
topological_correlated_materials,2100,0.0000070838,1.0000000000,-0.1074380165,0.00,0.00,1749152717
topological_correlated_materials,2500,0.0000059504,1.0000000000,0.1404958678,0.00,0.00,2079957658
correlated_fermions_non_hubbard,700,0.0000312698,1.0000000000,0.0888888889,0.00,0.00,613401039
correlated_fermions_non_hubbard,1400,0.0000156349,1.0000000000,0.0000000000,0.00,0.00,1201753378
correlated_fermions_non_hubbard,2100,0.0000104233,1.0000000000,-0.0222222222,0.00,0.00,1750222208
correlated_fermions_non_hubbard,2400,0.0000091204,1.0000000000,0.0666666667,0.00,0.00,2000033457
multi_state_excited_chemistry,700,0.0000261023,1.0000000000,0.0370370370,0.00,0.00,587272819
multi_state_excited_chemistry,1400,0.0000130511,1.0000000000,-0.0123456790,0.00,0.00,1181221398
multi_state_excited_chemistry,2100,0.0000087008,1.0000000000,-0.0123456790,0.00,0.00,1748002378
multi_state_excited_chemistry,2300,0.0000079442,1.0000000000,-0.2345679012,0.00,0.00,1925677147
bosonic_multimode_systems,700,0.0000221429,1.0000000000,-0.0250000000,0.00,0.00,578945609
bosonic_multimode_systems,1400,0.0000110714,1.0000000000,-0.0500000000,0.00,0.00,1156822049
bosonic_multimode_systems,2100,0.0000073810,1.0000000000,-0.1000000000,0.00,0.00,1736917707
bosonic_multimode_systems,2200,0.0000070455,1.0000000000,-0.0500000000,0.00,0.00,1836996037
multiscale_nonlinear_field_models,700,0.0000327381,1.0000000000,0.0833333333,0.00,0.00,579762659
multiscale_nonlinear_field_models,1400,0.0000163690,1.0000000000,-0.0208333333,0.00,0.00,1164562228
multiscale_nonlinear_field_models,2100,0.0000109127,1.0000000000,0.0833333333,0.00,0.00,1750171437
multiscale_nonlinear_field_models,2300,0.0000099638,1.0000000000,0.0208333333,0.00,0.00,1913934407
far_from_equilibrium_kinetic_lattices,700,0.0000275613,1.0000000000,-0.0505050505,0.00,0.00,579210399
far_from_equilibrium_kinetic_lattices,1400,0.0000137807,1.0000000000,-0.0505050505,0.00,0.00,1170299278
far_from_equilibrium_kinetic_lattices,2100,0.0000091871,1.0000000000,0.0303030303,0.00,0.00,1747321368
far_from_equilibrium_kinetic_lattices,2400,0.0000080387,1.0000000000,0.0303030303,0.00,0.00,1994105586
multi_correlated_fermion_boson_networks,700,0.0000244286,1.0000000000,0.0800000000,0.00,0.00,584070330
multi_correlated_fermion_boson_networks,1400,0.0000122143,1.0000000000,0.0800000000,0.00,0.00,1168288258
multi_correlated_fermion_boson_networks,2100,0.0000081429,1.0000000000,0.1200000000,0.00,0.00,1754220737
multi_correlated_fermion_boson_networks,2350,0.0000072766,1.0000000000,0.0600000000,0.00,0.00,1956349867
