131995875883887,PHYSICS,INIT_MASS,3b9aca00
131995876426460,PHYSICS,INIT_SPIN,3b7c4580
131995876876867,PHYSICS,HORIZON_P,3f5f5b62
131995877352457,TEST_METADATA,NEAR_HORIZON_INJECTION,3e6
131995877863414,GEO_STEP,COORD_R,4003fef9db22d0e5
131995878363209,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995878998572,GEO_STEP,VEL_R,bfb9ce0cbe3cfb6c
131995879538658,GEO_STEP,COORD_R,4003fdf19d2fafbc
131995880136364,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995880745325,GEO_STEP,VEL_R,bfba02854d8434be
131995881311848,GEO_STEP,COORD_R,4003fce745ef2553
131995881954145,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995882616495,GEO_STEP,VEL_R,bfba3703534c3cee
131995883221533,GEO_STEP,COORD_R,4003fbdad52940ff
131995883841866,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995884311623,GEO_STEP,VEL_R,bfba6b86db788857
131995884762408,GEO_STEP,COORD_R,4003facc4aa59856
131995885289394,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995885741816,GEO_STEP,VEL_R,bfbaa00ff1f3182d
131995886195444,GEO_STEP,COORD_R,4003f9bba62b46ef
131995886636369,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995887267301,GEO_STEP,VEL_R,bfbad49ea2ac8a6a
131995887900434,GEO_STEP,COORD_R,4003f8a8e780ee1d
131995888472711,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995888980885,GEO_STEP,VEL_R,bfbb0932f99c29d7
131995889547863,GEO_STEP,COORD_R,4003f7940e6cb4ab
131995890224674,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995890671302,GEO_STEP,VEL_R,bfbb3dcd02bffe1f
131995891187620,GEO_STEP,COORD_R,4003f67d1ab44697
131995891727889,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995892298292,GEO_STEP,VEL_R,bfbb726cca1cdbfc
131995892939385,GEO_STEP,COORD_R,4003f5640c1cd4cc
131995893566155,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995894219370,GEO_STEP,VEL_R,bfbba7125bbe7576
131995894790403,GEO_STEP,COORD_R,4003f448e26b14dc
131995895444870,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995896240568,GEO_STEP,VEL_R,bfbbdbbdc3b76a38
131995896889104,GEO_STEP,COORD_R,4003f32b9d6340b9
131995897587528,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995898318041,GEO_STEP,VEL_R,bfbc106f0e2157f7
131995898966062,GEO_STEP,COORD_R,4003f20c3cc9166e
131995899479115,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995900186782,GEO_STEP,VEL_R,bfbc4526471ceaf0
131995900705483,GEO_STEP,COORD_R,4003f0eac05fd7d5
131995901368879,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995901930383,GEO_STEP,VEL_R,bfbc79e37ad1ee7a
131995902544437,GEO_STEP,COORD_R,4003efc727ea4a51
131995903047373,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995903623481,GEO_STEP,VEL_R,bfbcaea6b56f5dad
131995904170925,GEO_STEP,COORD_R,4003eea1732ab680
131995904705902,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995905280121,GEO_STEP,VEL_R,bfbce370032b7420
131995905798029,GEO_STEP,COORD_R,4003ed79a1e2e7f6
131995906409815,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995906979988,GEO_STEP,VEL_R,bfbd183f7043beba
131995907549085,GEO_STEP,COORD_R,4003ec4fb3d42cee
131995908075963,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995908696165,GEO_STEP,VEL_R,bfbd4d1508fd2c9d
131995909314927,GEO_STEP,COORD_R,4003eb23a8bf5601
131995909824349,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995910375897,GEO_STEP,VEL_R,bfbd81f0d9a42024
131995910883667,GEO_STEP,COORD_R,4003e9f58064b5d7
131995911466896,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995912018017,GEO_STEP,VEL_R,bfbdb6d2ee8c7ff8
131995912474454,GEO_STEP,COORD_R,4003e8c53a8420dc
131995912944026,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995913637845,GEO_STEP,VEL_R,bfbdebbb5411c83b
131995914365831,GEO_STEP,COORD_R,4003e792d6dcecf3
131995914879295,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995915418700,GEO_STEP,VEL_R,bfbe20aa16971bcc
131995915945337,GEO_STEP,COORD_R,4003e65e552df125
131995916455669,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995917266276,GEO_STEP,VEL_R,bfbe559f428755a0
131995917699037,GEO_STEP,COORD_R,4003e527b5358555
131995918211959,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995918663269,GEO_STEP,VEL_R,bfbe8a9ae4551a36
131995919165393,GEO_STEP,COORD_R,4003e3eef6b181ee
131995919670733,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995920247832,GEO_STEP,VEL_R,bfbebf9d087ae91d
131995920710611,GEO_STEP,COORD_R,4003e2b4195f3f93
131995921170769,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995921662264,GEO_STEP,VEL_R,bfbef4a5bb7b2e94
131995922171108,GEO_STEP,COORD_R,4003e1771cfb96cf
131995922649606,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995923158807,GEO_STEP,VEL_R,bfbf29b509e05548
131995923619584,GEO_STEP,COORD_R,4003e0380142dfc1
131995924106845,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995924563183,GEO_STEP,VEL_R,bfbf5ecb003cd81f
131995925084867,GEO_STEP,COORD_R,4003def6c5f0f1cd
131995925550259,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995926086270,GEO_STEP,VEL_R,bfbf93e7ab2b5425
131995926505237,GEO_STEP,COORD_R,4003ddb36ac12345
131995926927447,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995927470777,GEO_STEP,VEL_R,bfbfc90b174e9a91
131995927990764,GEO_STEP,COORD_R,4003dc6def6e4916
131995928522559,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995928977917,GEO_STEP,VEL_R,bfbffe355151c2dc
131995929514649,GEO_STEP,COORD_R,4003db2653b2b675
131995929982119,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995930534547,GEO_STEP,VEL_R,bfc019b332f41e7c
131995930996711,GEO_STEP,COORD_R,4003d9dc97483c87
131995931524474,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995931962820,GEO_STEP,VEL_R,bfc0344f30e6f1d2
131995932439459,GEO_STEP,COORD_R,4003d890b9e82a0d
131995932939686,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995933451010,GEO_STEP,VEL_R,bfc04eeea8e38766
131995933913135,GEO_STEP,COORD_R,4003d742bb4b4b0c
131995934522394,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995935149979,GEO_STEP,VEL_R,bfc06991a1505309
131995935632865,GEO_STEP,COORD_R,4003d5f29b29e876
131995936188648,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995936688870,GEO_STEP,VEL_R,bfc08438209819b5
131995937248899,GEO_STEP,COORD_R,4003d4a0593bc7d0
131995937745378,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995938262098,GEO_STEP,VEL_R,bfc09ee22d29faea
131995938771259,GEO_STEP,COORD_R,4003d34bf5382adb
131995939356599,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995939853721,GEO_STEP,VEL_R,bfc0b98fcd797a15
131995940404493,GEO_STEP,COORD_R,4003d1f56ed5cf38
131995940866942,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995941445993,GEO_STEP,VEL_R,bfc0d44107fe8809
131995941947694,GEO_STEP,COORD_R,4003d09cc5caee0e
131995942416370,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995942892788,GEO_STEP,VEL_R,bfc0eef5e3358c86
131995943432917,GEO_STEP,COORD_R,4003cf41f9cd3bb1
131995943965130,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995944479414,GEO_STEP,VEL_R,bfc109ae659f6fc7
131995945091039,GEO_STEP,COORD_R,4003cde50a91e742
131995945668244,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995946346938,GEO_STEP,VEL_R,bfc1246a95c1a428
131995946956975,GEO_STEP,COORD_R,4003cc85f7cd9a54
131995947546225,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995948181033,GEO_STEP,VEL_R,bfc13f2a7a262fd2
131995948760458,GEO_STEP,COORD_R,4003cb24c134788e
131995949325797,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995949828731,GEO_STEP,VEL_R,bfc159ee195bb679
131995950395888,GEO_STEP,COORD_R,4003c9c1667a1f4c
131995950965865,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995951625846,GEO_STEP,VEL_R,bfc174b579f58329
131995952339251,GEO_STEP,COORD_R,4003c85be751a542
131995952946879,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995953692880,GEO_STEP,VEL_R,bfc18f80a28b9220
131995954225982,GEO_STEP,COORD_R,4003c6f4436d9a18
131995954768378,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995955342131,GEO_STEP,VEL_R,bfc1aa4f99ba9ab7
131995955821703,GEO_STEP,COORD_R,4003c58a7a80060c
131995956321618,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995956788831,GEO_STEP,VEL_R,bfc1c5226624195c
131995957356960,GEO_STEP,COORD_R,4003c41e8c3a698f
131995957843197,GEO_STEP,COORD_TH,3ff91eb851eb851f
131995958434814,GEO_STEP,VEL_R,bfc1dff90e6e5997
