problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-25.3327027517,99.7079476457,-0.0400000000,15.51,66.41,627910
hubbard_hts_core,100,-2451.4123879353,9934.2996379759,0.0081188119,15.51,66.41,53230970
hubbard_hts_core,200,-4724.5076812523,19659.1815747055,0.0046766169,15.51,66.41,104187130
hubbard_hts_core,300,-6808.2110964872,29302.6643065477,-0.0007308970,15.51,66.41,155507950
hubbard_hts_core,400,-8530.9327066274,38826.6333438222,-0.0010972569,15.51,66.41,207075111
hubbard_hts_core,500,-9785.9948651306,48223.7610279538,-0.0002794411,15.51,66.41,263679431
hubbard_hts_core,600,-10161.9532435754,57454.5108737258,0.0020299501,15.51,66.41,318189191
hubbard_hts_core,700,-8399.7725360135,66429.8916707475,0.0021968616,15.51,66.41,369687761
hubbard_hts_core,800,-2332.7247023032,75040.3018557645,0.0006991261,15.51,66.41,420972601
hubbard_hts_core,900,11814.6690405440,83221.9392671542,-0.0004661487,15.51,66.41,471837562
hubbard_hts_core,1000,36851.8126760151,90973.9205415079,-0.0011388611,15.51,66.41,521356862
hubbard_hts_core,1100,72291.8313531394,98299.1524595576,-0.0016893733,15.51,66.41,570547072
hubbard_hts_core,1200,117492.5124370022,105231.4488643268,-0.0023147377,15.51,66.41,619758682
hubbard_hts_core,1300,171059.7311766527,111853.8147306630,-0.0026594927,15.51,66.41,672355613
hubbard_hts_core,1400,232362.2082232313,118179.4199893170,-0.0026552463,15.51,66.41,721339833
hubbard_hts_core,1500,299221.7283896144,124254.9600090182,-0.0012791472,15.51,66.41,770566183
hubbard_hts_core,1600,372047.0811679452,130128.8007914095,-0.0007245472,15.51,66.41,822354123
hubbard_hts_core,1700,449428.9694101125,135873.8776394879,-0.0009876543,15.51,66.41,873786954
hubbard_hts_core,1800,529480.0676372427,141543.1338851580,-0.0013659078,15.51,66.41,923512804
hubbard_hts_core,1900,610844.0390047064,147173.5808651521,-0.0011783272,15.51,66.41,972285194
hubbard_hts_core,2000,692631.7203196476,152787.7536017250,-0.0013093453,15.51,66.41,1022014494
hubbard_hts_core,2100,774576.8195894039,158396.0984008047,-0.0015801999,15.51,66.41,1073336834
hubbard_hts_core,2200,856623.4894955960,164004.9364296283,-0.0011812812,15.51,66.42,1135670405
hubbard_hts_core,2300,938628.1993568778,169622.9170062479,-0.0008604954,15.51,66.42,1187378335
hubbard_hts_core,2400,1020588.3524773844,175241.3776704389,-0.0008579758,15.51,66.42,1237548315
hubbard_hts_core,2500,1102668.0031888464,180854.0404636000,-0.0003198721,15.51,66.42,1288423225
hubbard_hts_core,2600,1184763.8047355812,186466.3728712836,-0.0006843522,15.51,66.42,1338259556
hubbard_hts_core,2700,1266799.9854127853,192079.9176118617,-0.0010218438,15.51,66.42,1389009736
qcd_lattice_proxy,0,-13.4302643999,80.6743673463,-0.0123456790,15.51,66.42,585620
qcd_lattice_proxy,100,-1342.5513610857,7968.9418456287,0.0023224545,15.51,66.43,52845670
qcd_lattice_proxy,200,-2504.1543443977,15727.5448640154,0.0069406056,15.51,66.43,102827041
qcd_lattice_proxy,300,-3507.4145767386,23397.0520978553,-0.0035683524,15.51,66.43,152857831
qcd_lattice_proxy,400,-4151.9349054425,30940.5767620948,-0.0036021058,15.51,66.43,205181151
qcd_lattice_proxy,500,-4182.2018802083,38346.5291974189,-0.0024888495,15.51,66.43,255530601
qcd_lattice_proxy,600,-3143.2581045032,45493.3302217902,-0.0040878371,15.51,66.43,306714701
qcd_lattice_proxy,700,134.8073673961,52327.1105806181,-0.0032933552,15.51,66.42,359577682
qcd_lattice_proxy,800,8028.8624579713,58711.5661253685,-0.0023581634,15.51,66.42,410813882
qcd_lattice_proxy,900,24998.1882587725,64535.7048031954,-0.0000685110,15.51,66.42,461532002
qcd_lattice_proxy,1000,53530.4968357184,69855.2645388427,0.0008263342,15.51,66.42,511310152
qcd_lattice_proxy,1100,93559.0261743740,74721.4726748191,0.0014240701,15.51,66.42,563097883
qcd_lattice_proxy,1200,142029.8238773366,79227.5501443485,0.0015316454,15.51,66.42,614113913
qcd_lattice_proxy,1300,195663.7860853985,83457.2277358470,0.0011482146,15.51,66.42,670542123
qcd_lattice_proxy,1400,253925.9622932329,87455.0021710732,0.0006785277,15.51,66.42,724407013
qcd_lattice_proxy,1500,316792.1546957220,91256.3831456642,0.0013077701,15.51,66.43,778589074
qcd_lattice_proxy,1600,383391.4893552750,94922.4183959933,0.0009176364,15.51,66.43,831858714
qcd_lattice_proxy,1700,452089.2414997120,98516.6905926123,0.0025475211,15.51,66.43,887059694
qcd_lattice_proxy,1800,522127.8135258561,102053.9303223734,0.0024060707,15.51,66.43,940950774
qcd_lattice_proxy,1900,592975.4984153743,105565.5555872473,0.0012404128,15.51,66.43,991854955
qcd_lattice_proxy,2000,664079.9767787742,109065.9701310677,0.0015239294,15.51,66.43,1049082955
qcd_lattice_proxy,2100,735070.0408036304,112566.2483598313,0.0016276788,15.51,66.43,1099017415
quantum_field_noneq,0,-18.0598910809,63.6972204345,-0.1250000000,15.51,66.43,638960
quantum_field_noneq,100,-2020.2454942677,6233.9620520749,-0.0126856436,15.51,66.43,50793540
quantum_field_noneq,200,-4000.0916051784,12325.0187002725,-0.0020211443,15.51,66.43,106022771
quantum_field_noneq,300,-5861.9630560513,18320.2644239003,-0.0020764120,15.51,66.42,159387271
quantum_field_noneq,400,-7520.7121781997,24156.1845952361,-0.0012468828,15.51,66.42,210325211
quantum_field_noneq,500,-8725.8612003430,29753.2637047355,-0.0016841317,15.51,66.43,261520601
quantum_field_noneq,600,-9064.6413370327,35067.5474781101,-0.0020278702,15.51,66.43,314572122
quantum_field_noneq,700,-7690.2392350140,40008.8849909592,-0.0057061341,15.51,66.43,370041582
quantum_field_noneq,800,-2869.1610235086,44498.8707575835,-0.0042134831,15.51,66.43,423279072
quantum_field_noneq,900,8231.9865907649,48470.6671399096,-0.0054453385,15.51,66.43,475242392
quantum_field_noneq,1000,28388.3884154574,51918.1422266795,-0.0071178821,15.51,66.40,527592163
quantum_field_noneq,1100,56098.5033582184,54940.0668969342,-0.0068119891,15.51,66.40,577728603
quantum_field_noneq,1200,89023.3255162685,57647.8397891297,-0.0043973772,15.51,66.39,630250973
quantum_field_noneq,1300,125835.1475869047,60125.2317653988,-0.0036029977,15.51,66.39,680664923
quantum_field_noneq,1400,165719.5810176305,62440.9934193740,-0.0025874375,15.51,66.39,731822274
quantum_field_noneq,1500,207712.0604430040,64650.2075685346,-0.0023734177,15.51,66.39,781363094
quantum_field_noneq,1600,250889.0539643817,66817.6731739472,-0.0024594004,15.51,66.39,831221324
quantum_field_noneq,1700,294396.5912071934,68979.6820018895,-0.0015432099,15.51,66.40,880774244
quantum_field_noneq,1800,338095.7647421951,71145.3264608656,-0.0012146030,15.51,66.41,931576884
quantum_field_noneq,1900,381789.1082115883,73304.7803187163,-0.0008876907,15.51,66.41,984176085
quantum_field_noneq,2000,425579.0607619419,75452.1696923480,0.0006871564,15.51,66.41,1033245185
dense_nuclear_proxy,0,-14.7688562483,71.8207761851,0.1111111111,15.51,66.41,1082210
dense_nuclear_proxy,100,-1352.3884446660,7161.1549629995,-0.0019251925,15.51,66.41,53618580
dense_nuclear_proxy,200,-2456.7500389369,14156.8299958362,0.0042841349,15.51,66.41,104118611
