problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,15535.0620696801,15535.532755044,0.4706853638999746,0.0030298260913846934,0.8556436916,0.8556324762,-1.121539999993093e-05,-0.001310755880050823,1746756860,1742544459
correlated_fermions_non_hubbard,58505.8276163297,58507.1013637095,1.273747379804263,0.0021771290685045266,0.9032318923,0.9032069627,-2.4929600000000995e-05,-0.002760044260230889,1905866101,1912279167
dense_nuclear_proxy,9912.7024194009,9909.0123830646,-3.6900363363001816,-0.037225331500702896,0.8974702633,0.8974527032,-1.7560099999980316e-05,-0.001956621931451165,1670807404,1670638803
far_from_equilibrium_kinetic_lattices,50514.180512573,50518.4366638173,4.256151244298962,0.008425656322860874,0.8325041347,0.832554447,5.031230000007714e-05,0.006043489503893888,1910178295,1901594583
hubbard_hts_core,1788520.6016984067,1788538.893299709,18.29160130233504,0.0010227224268462465,0.900986077,0.9009734403,-1.2636699999957202e-05,-0.0014025410960881253,2250191734,2249124178
multi_correlated_fermion_boson_networks,52940.6015512368,52942.7222425344,2.1206912975976593,0.004005793730064096,0.8879157315,0.887933819,1.8087499999985823e-05,0.0020370739427523956,1905062695,1908694916
multi_state_excited_chemistry,64130.5087580256,64125.3899814331,-5.118776592498762,-0.007981811920146622,0.9342912522,0.9342880308,-3.221399999975283e-06,-0.00034479612137968416,1826613921,1832120555
multiscale_nonlinear_field_models,70634.1681286463,70635.905498488,1.7373698417068226,0.0024596733956610685,0.85796889,0.8579672087,-1.6813000000004408e-06,-0.00019596281632081562,1819577943,1822432663
qcd_lattice_proxy,10457.451625492,10458.7952276492,1.3436021571997117,0.012848275137361661,0.8298296751,0.8298601753,3.0500199999949906e-05,0.0036754771388808707,1759562586,1756528005
quantum_chemistry_proxy,63829.7682428195,63819.2197398162,-10.548503003294172,-0.016525992955459028,0.9008524794,0.9008458702,-6.60920000006282e-06,-0.0007336606327003488,1741015594,1770252587
quantum_field_noneq,58478.216543841,58479.5839380291,1.3673941880988423,0.0023382966665437027,0.7730333806,0.773039412,6.031399999995024e-06,0.0007802250396113133,1656614984,1661805012
spin_liquid_exotic,40233.7552654202,40233.9948983998,0.23963297959562624,0.0005956018224368536,0.9408356444,0.9408251304,-1.0513999999961499e-05,-0.0011175171840631742,2075119676,2076127721
topological_correlated_materials,56807.1126044553,56806.6100579969,-0.5025464584032306,-0.0008846541134777138,0.9279889491,0.9280124097,2.346060000002481e-05,0.002528112002064014,1995480937,1993826622
