problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,-0.1204810517,0.9477380106,0.0022571429,0.00,0.00,356953068
hubbard_hts_core,1400,1.6551460569,0.8436960386,-0.0025285714,0.00,0.00,730989715
hubbard_hts_core,2100,3.6845537488,0.7540000699,-0.0016095238,0.00,0.00,1086159272
hubbard_hts_core,2800,4.8148229660,0.7058414526,-0.0013071429,0.00,0.00,1522059710
qcd_lattice_proxy,700,0.0014706769,0.9217083289,-0.0033156966,0.00,0.00,406499537
qcd_lattice_proxy,1400,2.2338422144,0.7708657197,0.0005467372,0.00,0.00,752248165
qcd_lattice_proxy,2100,4.3172170699,0.6615594799,0.0015990594,0.00,0.00,1097413482
qcd_lattice_proxy,2200,4.5199124263,0.6511247681,0.0019865320,0.00,0.00,1219698031
quantum_field_noneq,700,-0.1723241209,0.8920010157,-0.0058035714,0.00,0.00,363543648
quantum_field_noneq,1400,1.8449776635,0.6966341488,-0.0025892857,0.00,0.00,710112995
quantum_field_noneq,2100,3.4885635779,0.5771386328,0.0011309524,0.00,0.00,1071317423
quantum_field_noneq,2100,3.4885635779,0.5771386328,0.0011309524,0.00,0.00,1085023012
dense_nuclear_proxy,700,0.0721891886,0.9436365181,0.0014682540,0.00,0.00,355952118
dense_nuclear_proxy,1400,3.0272563579,0.8408055784,0.0012698413,0.00,0.00,714981725
dense_nuclear_proxy,2100,5.5151358258,0.7721796238,-0.0002380952,0.00,0.00,1084311012
dense_nuclear_proxy,2100,5.5151358258,0.7721796238,-0.0002380952,0.00,0.00,1078893133
quantum_chemistry_proxy,700,-0.1823922392,0.9533858123,0.0014285714,0.00,0.00,372737657
quantum_chemistry_proxy,1400,1.7103505975,0.8692916670,-0.0002806122,0.00,0.00,729951795
quantum_chemistry_proxy,2100,3.1080865295,0.8184246666,0.0019557823,0.00,0.00,1150639922
quantum_chemistry_proxy,2200,3.2358196865,0.8138100918,0.0016883117,0.00,0.00,1140975502
spin_liquid_exotic,700,0.0000425994,0.9632084559,0.0033333333,0.00,0.00,370233747
spin_liquid_exotic,1400,3.2224131478,0.8826577530,0.0020000000,0.00,0.00,718082066
spin_liquid_exotic,2100,5.5537075115,0.8361743338,0.0016031746,0.00,0.00,1089424322
spin_liquid_exotic,2600,6.5112975038,0.8175774112,0.0008397436,0.00,0.00,1358494521
topological_correlated_materials,700,0.0287688681,0.9429177105,-0.0027626919,0.00,0.00,360799527
topological_correlated_materials,1400,2.6017122297,0.8414224203,-0.0009799292,0.00,0.00,713183075
topological_correlated_materials,2100,4.3210759730,0.7842457212,-0.0023848878,0.00,0.00,1069115763
topological_correlated_materials,2500,4.9167519531,0.7648250917,-0.0022082645,0.00,0.00,1281445801
correlated_fermions_non_hubbard,700,-0.1049354691,0.9450410839,0.0003809524,0.00,0.00,357243428
correlated_fermions_non_hubbard,1400,2.2789683267,0.8339642020,-0.0016984127,0.00,0.00,704292385
correlated_fermions_non_hubbard,2100,4.2813422132,0.7600772801,-0.0020423280,0.00,0.00,1073833892
correlated_fermions_non_hubbard,2400,4.8202501372,0.7406747403,-0.0019166667,0.00,0.00,1244171342
multi_state_excited_chemistry,700,-0.2441404813,0.9700089624,0.0007407407,0.00,0.00,363043737
multi_state_excited_chemistry,1400,1.4902186101,0.9083203700,0.0009876543,0.00,0.00,724682335
multi_state_excited_chemistry,2100,3.1572976924,0.8644828553,0.0017636684,0.00,0.00,1096529233
multi_state_excited_chemistry,2300,3.4514431152,0.8567565225,0.0011164788,0.00,0.00,1205677502
bosonic_multimode_systems,700,-0.0420410193,0.9325082661,0.0045357143,0.00,0.00,359468797
bosonic_multimode_systems,1400,1.5210151270,0.7845210998,0.0013571429,0.00,0.00,716661905
bosonic_multimode_systems,2100,2.7565931018,0.6945852807,-0.0015000000,0.00,0.00,1064851943
bosonic_multimode_systems,2200,2.8697226555,0.6863182260,-0.0015227273,0.00,0.00,1124970902
multiscale_nonlinear_field_models,700,-0.1942319769,0.9343459174,-0.0020833333,0.00,0.00,353240268
multiscale_nonlinear_field_models,1400,1.9188960359,0.7971988648,-0.0037351190,0.00,0.00,731706665
multiscale_nonlinear_field_models,2100,4.3193217027,0.6875483142,-0.0042857143,0.00,0.00,1080550392
multiscale_nonlinear_field_models,2300,4.7564118523,0.6677995386,-0.0032065217,0.00,0.00,1183958962
far_from_equilibrium_kinetic_lattices,700,-0.0900964392,0.915740
