problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
hubbard_hts_core,0,1.9745923269,0.4330617895,0.0200000000,16.02,55.13,97310,2.2204460493e-16,0.0000000000
hubbard_hts_core,100,1.9828257763,0.4312153367,-0.0800000000,16.02,55.13,1120600,0.0000000000e+00,0.0000000000
hubbard_hts_core,200,1.9839568331,0.4271522004,-0.0600000000,16.02,55.13,2125040,0.0000000000e+00,0.0000000000
hubbard_hts_core,300,1.9842289668,0.4258605195,-0.0400000000,16.02,55.13,3122170,3.3306690739e-16,0.0000000000
hubbard_hts_core,400,1.9843555259,0.4252787624,-0.0200000000,16.02,55.13,4134970,1.1102230246e-16,0.0000000000
hubbard_hts_core,500,1.9844209465,0.4253272379,-0.0400000000,16.02,55.13,5135640,1.1102230246e-16,0.0000000000
hubbard_hts_core,600,1.9844616534,0.4255363974,-0.0600000000,16.02,55.13,6129910,0.0000000000e+00,0.0000000000
hubbard_hts_core,700,1.9844822995,0.4255903903,-0.0400000000,16.02,55.13,7113810,2.2204460493e-16,0.0000000000
hubbard_hts_core,800,1.9844941348,0.4256977063,-0.0400000000,16.02,55.13,8094680,3.3306690739e-16,0.0000000000
hubbard_hts_core,900,1.9845029226,0.4257818905,-0.0200000000,16.02,55.13,9110390,3.3306690739e-16,0.0000000000
hubbard_hts_core,1000,1.9845113799,0.4256464933,-0.0200000000,16.02,55.13,10109090,2.2204460493e-16,0.0000000000
hubbard_hts_core,1100,1.9845211156,0.4257707850,-0.0200000000,16.02,55.13,11117810,1.1102230246e-16,0.0000000000
hubbard_hts_core,1200,1.9845335947,0.4261926144,-0.0400000000,16.02,55.13,12124000,1.1102230246e-16,0.0000000000
hubbard_hts_core,1300,1.9845505576,0.4262408150,-0.0200000000,16.02,55.13,13125970,2.2204460493e-16,0.0000000000
hubbard_hts_core,1400,1.9845741259,0.4263132407,-0.0600000000,16.02,55.13,14119360,0.0000000000e+00,0.0000000000
hubbard_hts_core,1500,1.9846052428,0.4257831833,-0.1000000000,16.02,55.13,15102220,2.2204460493e-16,0.0000000000
hubbard_hts_core,1600,1.9846390392,0.4250262456,-0.0600000000,16.02,55.13,16087620,2.2204460493e-16,0.0000000000
hubbard_hts_core,1700,1.9846689129,0.4244817235,-0.0200000000,16.02,55.13,17092320,3.3306690739e-16,0.0000000000
hubbard_hts_core,1800,1.9846924498,0.4237874486,-0.0200000000,16.02,55.13,18095450,2.2204460493e-16,0.0000000000
hubbard_hts_core,1900,1.9847062978,0.4234369128,-0.0200000000,16.02,55.13,19097110,0.0000000000e+00,0.0000000000
hubbard_hts_core,2000,1.9847132986,0.4232984185,-0.0200000000,16.02,55.13,20099510,0.0000000000e+00,0.0000000000
hubbard_hts_core,2100,1.9847169571,0.4233264934,-0.0200000000,16.02,55.13,21104130,0.0000000000e+00,0.0000000000
hubbard_hts_core,2200,1.9847187963,0.4233844286,-0.0400000000,16.02,55.13,22114410,2.2204460493e-16,0.0000000000
hubbard_hts_core,2300,1.9847197293,0.4234219390,-0.0400000000,16.02,55.13,23122580,1.1102230246e-16,0.0000000000
hubbard_hts_core,2400,1.9847202541,0.4234992990,-0.0200000000,16.02,55.13,24131290,0.0000000000e+00,0.0000000000
hubbard_hts_core,2500,1.9847206019,0.4235415346,-0.0400000000,16.02,55.13,25151190,4.4408920985e-16,0.0000000000
hubbard_hts_core,2600,1.9847208724,0.4234027322,-0.0200000000,16.02,55.13,26152800,0.0000000000e+00,0.0000000000
hubbard_hts_core,2700,1.9847211096,0.4233472132,-0.0200000000,16.02,55.13,27142100,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,0,2.2115701842,0.3938907150,-0.0864197531,16.02,55.13,51520,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,100,2.2183077515,0.3907065287,-0.0617283951,16.02,55.13,882551,4.4408920985e-16,0.0000000000
qcd_lattice_fullscale,200,2.2203858203,0.3862599783,-0.0617283951,16.02,55.13,1700871,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,300,2.2209070074,0.3850730137,-0.1604938272,16.02,55.13,2548351,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,400,2.2211013090,0.3841955512,-0.2098765432,16.02,55.13,3364891,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,500,2.2211894141,0.3831216218,-0.2345679012,16.02,55.13,4186071,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,600,2.2212513466,0.3818215969,-0.2839506173,16.02,55.13,5002411,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,700,2.2212891644,0.3812946547,-0.2839506173,16.02,55.13,5809291,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,800,2.2213075974,0.3812088714,-0.2592592593,16.02,55.13,6653211,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,900,2.2213151126,0.3812867125,-0.2345679012,16.02,55.13,7478480,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1000,2.2213175754,0.3812150522,-0.2345679012,16.02,55.13,8299980,5.5511151231e-16,0.0000000000
qcd_lattice_fullscale,1100,2.2213180898,0.3811618864,-0.2098765432,16.02,55.13,9118560,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,1200,2.2213179167,0.3811070738,-0.2345679012,16.02,55.13,9932940,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1300,2.2213175749,0.3808935174,-0.2345679012,16.02,55.13,10741320,3.3306690739e-16,0.0000000000
qcd_lattice_fullscale,1400,2.2213173298,0.3808752403,-0.2345679012,16.02,55.13,11567640,3.3306690739e-16,0.0000000000
qcd_lattice_fullscale,1500,2.2213173549,0.3810578185,-0.2345679012,16.02,55.13,12395191,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,1600,2.2213177200,0.3811188250,-0.2592592593,16.02,55.13,13210360,4.4408920985e-16,0.0000000000
qcd_lattice_fullscale,1700,2.2213183398,0.3811149596,-0.2345679012,16.02,55.13,14031371,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1800,2.2213190140,0.3811842479,-0.2345679012,16.02,55.13,14854140,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,1900,2.2213195574,0.3813028768,-0.2098765432,16.02,55.13,15672420,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,2000,2.2213198918,0.3813573583,-0.1851851852,16.02,55.13,16508651,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,2100,2.2213200331,0.3812468060,-0.2098765432,16.02,55.13,17337191,1.1102230246e-16,0.0000000000
quantum_field_noneq,0,1.7132814802,0.3620296807,0.0937500000,16.02,55.13,54520,4.4408920985e-16,0.0000000000
quantum_field_noneq,100,1.7345843466,0.3524613543,0.1562500000,16.02,55.13,739481,1.1102230246e-16,0.0000000000
quantum_field_noneq,200,1.7361248465,0.3467490083,0.2187500000,16.02,55.13,1413820,1.1102230246e-16,0.0000000000
quantum_field_noneq,300,1.7365649286,0.3484066117,0.2500000000,16.02,55.13,2099410,0.0000000000e+00,0.0000000000
quantum_field_noneq,400,1.7368200823,0.3459983488,0.1562500000,16.02,55.13,2800301,0.0000000000e+00,0.0000000000
quantum_field_noneq,500,1.7370010923,0.3438534369,0.1562500000,16.02,55.13,3470440,3.3306690739e-16,0.0000000000
quantum_field_noneq,600,1.7371254627,0.3445947314,0.1562500000,16.02,55.13,4159800,1.1102230246e-16,0.0000000000
quantum_field_noneq,700,1.7371983504,0.3458993967,0.2187500000,16.02,55.13,4847540,0.0000000000e+00,0.0000000000
