timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771970134515678038,train,1004283650,3098856,2730192449,51200,102400,0.50000000,f924894a564bbba9
1771970137551418536,train,1006462223,3234001,2740541273,51200,102400,0.50000000,2d366b1cdec6ee2b
1771970140576499828,train,1013184726,3344991,2739369897,51200,102400,0.50000000,360ff53da040bef7
1771970143566303319,train,102536988,2920474,2708687263,51200,102400,0.50000000,1cb92a4f747596ce
1771970146586890294,train,1029212680,3208706,2739255195,51200,102400,0.50000000,0b800c6b32982064
1771970149614627981,train,1033375083,2215189,2747523070,51200,102400,0.50000000,bc0a57d4b0566e94
1771970152796438091,train,1033784946,2579615,2712990091,51200,102400,0.50000000,a12d0a73fa46ce70
1771970155807177303,train,1044587645,2987763,2732688754,51200,102400,0.50000000,c543c4ce790f694f
1771970158837604396,train,105068588,2367611,2733578455,51200,102400,0.50000000,e217717d1d2a3637
1771970161840273187,train,105796630,1503380,2717861708,51200,102400,0.50000000,026857e153090926
1771970164854029272,train,1059332280,1618669,2733178146,51200,102400,0.50000000,e1effd15cf35bd0f
1771970167865302190,train,1061356924,1188146,2728309776,51200,102400,0.50000000,239669cca2e64367
1771970170874623793,train,1075217434,2887163,2716419235,51200,102400,0.50000000,dc329e3f6b5d728f
1771970173879426003,train,1079776201,2595697,2720086114,51200,102400,0.50000000,8393f46d00050f64
1771970176866224671,train,1083486419,2571942,2697686136,51200,102400,0.50000000,5f9a191e3a57f857
1771970179906173105,train,108672114,3026263,2750445999,51200,102400,0.50000000,e1dc663c87bfafc1
1771970182882059013,train,1105906805,2571021,2702001914,51200,102400,0.50000000,7d2be53426258c8c
1771970185889587742,train,1108059824,2484268,2714840090,51200,102400,0.50000000,162bc39f975fd56b
1771970188896782441,train,110997297,2854799,2731073641,51200,102400,0.50000000,18bb4cfd00ee4b66
1771970191901648817,train,1113943087,3214701,2708660182,51200,102400,0.50000000,ae533206d5872448
1771970194903513989,train,1127903126,3643779,2709495072,51200,102400,0.50000000,d0c1bc51d8eb4ac2
1771970197915019960,train,1128635125,2357059,2728308403,51200,102400,0.50000000,7729ac905988b13a
1771970200936923513,train,114235076,2884508,2735191020,51200,102400,0.50000000,2d9c18da48dce15c
1771970202532011099,train,11460685,2680788,1409770082,32768,65536,0.50000000,3b03fc063b09e6de
1771970205553538073,train,1154777170,2307477,2730250092,51200,102400,0.50000000,22e1c22f8b5fa335
1771970208587499095,train,1156808983,2946549,2743460431,51200,102400,0.50000000,dd6786e650d091ea
1771970211563215826,train,1157445126,3303846,2699499423,51200,102400,0.50000000,d7563a6daf2f1ee4
1771970214555595692,train,1159818141,1405201,2715655687,51200,102400,0.50000000,cb03e4cc4a29a228
1771970217629494492,train,11630450,3234875,2751861553,51200,102400,0.50000000,6914ef91805a1a85
1771970220657502503,train,1168011639,3162242,2725225993,51200,102400,0.50000000,f70147cddbf9be1b
1771970223845196325,train,1176487902,2747600,2750240334,51200,102400,0.50000000,52055730f149a633
1771970226836889426,train,118041886,3351470,2712749577,51200,102400,0.50000000,e6644aef4e08bd5d
1771970229832399008,train,1182039038,2854104,2728259162,51200,102400,0.50000000,71b987d53fb0fa12
1771970232834467697,train,118632705,2388139,2717263118,51200,102400,0.50000000,b7cfe26e70b53cbd
1771970235843980797,train,1186499682,4388526,2729944056,51200,102400,0.50000000,0a8f3d03abfe441a
1771970238856024602,train,1189767014,3191128,2711261219,51200,102400,0.50000000,f3a430e41faf6082
1771970241853643122,train,1200862647,2428645,2717113210,51200,102400,0.50000000,42f66a44a2e24dca
1771970244835330986,train,1201940326,3649901,2698067364,51200,102400,0.50000000,4992a2244c84126e
1771970247837727469,train,1204899528,2644533,2724582898,51200,102400,0.50000000,b262a48f4f971fdb
1771970250847032915,train,1208001693,2634466,2692472790,51200,102400,0.50000000,a42463a244a7b9b3
1771970253848199607,train,1210295426,3100684,2720602252,51200,102400,0.50000000,e34b031502b1fbc8
1771970256821175761,train,1210615920,2918052,2691569701,51200,102400,0.50000000,6d81cbdd6603687b
1771970259831141475,train,1210927642,2196460,2736301418,51200,102400,0.50000000,cbd2f3fdbf083a14
1771970262850609465,train,1215679884,2600228,2713403321,51200,102400,0.50000000,2f70b8744c4f291d
1771970265850325722,train,1219581388,2763786,2709994054,51200,102400,0.50000000,7db8c8ab3395d187
1771970268849452731,train,1230055797,1215757,2724186961,51200,102400,0.50000000,40d79e192cca21c4
1771970271856561006,train,1235128733,2952247,2717120623,51200,102400,0.50000000,ffa9658106359d43
1771970274847355302,train,1238314834,3030589,2717420361,51200,102400,0.50000000,c6893bac4e51ba8b
1771970277844855979,train,1238390590,3292757,2726370970,51200,102400,0.50000000,bba44e532b510734
1771970280898995427,train,1239284127,1648865,2717704922,51200,102400,0.50000000,2a51305eda1e4287
1771970283937435378,train,1240194203,2511783,2725178766,51200,102400,0.50000000,228d9fecf33d7e72
1771970287019796006,train,1242812707,4321117,2726256242,51200,102400,0.50000000,60aa6c68c5f35cff
1771970290118473738,train,1242962297,3660705,2732281521,51201,102400,0.50000977,72f3a2b8dbf5b63d
1771970293134999579,train,1253813461,3128005,2705693322,51200,102400,0.50000000,eac7535707af77d1
1771970296186088307,train,1255754809,3001792,2734884873,51200,102400,0.50000000,11696fdad8ffa18e
1771970299413507065,train,1261544272,3923440,2730231776,51200,102400,0.50000000,78ab854085cbe724
1771970302464475367,train,1267989019,2432754,2718897451,51200,102400,0.50000000,ea40a61cb232276e
1771970305512375484,train,1271223370,2802833,2730168958,51200,102400,0.50000000,c46aa211795b21b4
1771970308661844385,train,1272760814,2944889,2775913470,51200,102400,0.50000000,1b9b5803e6b98df8
1771970311750019079,train,1294570892,1581189,2694496441,51200,102400,0.50000000,c523927409887924
1771970314804487656,train,1296996509,3251968,2721756472,51200,102400,0.50000000,5d50b97b2dcc01f5
1771970317915168565,train,1306752115,3167049,2734146584,51200,102400,0.50000000,7cc046d7f915e41f
1771970321003097955,train,1311779219,2195471,2729860160,51200,102400,0.50000000,d8f1b9e439078cc8
1771970324074450593,train,1316805721,1195935,2717902835,51200,102400,0.50000000,aadf86e52d4cd303
1771970327131197373,train,1329351767,1404566,2716857381,51200,102400,0.50000000,299546efb7592dda
1771970330204066360,train,1330705651,3912130,2713995226,51200,102400,0.50000000,08bf1a50422162d4
1771970333277107053,train,1332121747,4372056,2721007228,51200,102400,0.50000000,29b165a2ef2f9040
1771970336293969184,train,1341999317,2374051,2700963894,51200,102400,0.50000000,a4d2bd3db4a13159
1771970339385685950,train,1351645019,2916668,2739787291,51200,102400,0.50000000,199e770a2d68e4f4
1771970341060468727,train,1354910392,3172074,1418917037,32768,65536,0.50000000,29bb3cb9cc3af015
1771970344157882523,train,1367329139,3388136,2725498096,51200,102400,0.50000000,96e7a54f0b1d9c6e
1771970347248433058,train,1368903217,3204071,2732071737,51200,102400,0.50000000,6c292edda4280e06
1771970350304906353,train,1369609932,3097601,2733660323,51200,102400,0.50000000,9cba24bfd9ff9e0d
1771970353349483593,train,1370134939,2034036,2706530380,51200,102400,0.50000000,59bb10c8d6e176e5
1771970356334368459,train,1379194145,2713114,2701287662,51200,102400,0.50000000,4fe2d375ecddd3fc
1771970359393384407,train,1391167593,2138136,2736089392,51200,102400,0.50000000,c3ca5a1466bb68f5
1771970362459579317,train,1395654524,2920042,2721222420,51200,102400,0.50000000,38bb0a798835237a
1771970365519578011,train,1404108352,1261111,2728009187,51200,102400,0.50000000,58355f77fe1cb557
1771970368566690509,train,1412233012,1650336,2738448618,51200,102400,0.50000000,2ccc33c2b13947ba
1771970371641877516,train,1420786524,2932599,2727124788,51200,102400,0.50000000,343d67f63a6a65b2
1771970374729051763,train,1424527489,2393540,2727122483,51200,102400,0.50000000,ccb85f8539ff3828
1771970377822867202,train,1425151232,2600622,2739267780,51200,102400,0.50000000,ad0462787b3a2c85
1771970380927401850,train,1430679851,2837669,2719268122,51200,102400,0.50000000,7604163b873ec538
1771970384011129602,train,1435658104,2730126,2743259404,51200,102400,0.50000000,bbeb2606366a8902
1771970387018367516,train,1440669255,1722539,2713802272,51200,102400,0.50000000,0d8fd13facb91c5a
1771970390077065547,train,1442179410,2693057,2745724872,51200,102400,0.50000000,158be3a33bd94724
1771970393105594542,train,1448189335,2720831,2723005799,51200,102400,0.50000000,68f021f5138e083e
1771970394744390606,train,1449602646,2781977,1442668991,32768,65536,0.50000000,1527e7752411e47d
1771970397735944829,train,1454104195,2876950,2696408423,51200,102400,0.50000000,dbfe2a8e5145e159
1771970400769655531,train,1459340749,1623160,2725756048,51200,102400,0.50000000,23b5ebfe4046237e
1771970403828794493,train,1460828631,3060031,2723228329,51200,102400,0.50000000,4e370072a688905d
1771970406901586721,train,1471460767,2615574,2718363491,51200,102400,0.50000000,7e6968c66c80af9a
1771970409964173479,train,1480691377,3016316,2734492309,51200,102400,0.50000000,022aeda7dbc83f00
1771970412977930853,train,1483500546,2500602,2725995969,51200,102400,0.50000000,953124f43c2d2952
1771970416028195422,train,149409101,3691150,2723649618,51200,102400,0.50000000,15e41ea80976ef2e
1771970419024320595,train,1497289496,2812598,2709401210,51200,102400,0.50000000,82c69e97e9245dea
1771970422024598560,train,1503030068,2937135,2710294637,51200,102400,0.50000000,46a4366f7fedf00c
1771970425041272348,train,1505524936,2658361,2723903943,51200,102400,0.50000000,8baa7b5f4ca4a6cb
1771970428109214105,train,1505792607,4116716,2750871516,51200,102400,0.50000000,5bfc44616ccbd0a1
1771970431121087779,train,1506367235,3234233,2712608241,51200,102400,0.50000000,ac4b4446f2a40a76
1771970434100000245,train,1508330045,2793048,2691645080,51200,102400,0.50000000,46018bfd62f856b4
1771970437271601710,train,1519902750,3020093,2726502031,51200,102400,0.50000000,3ddea27f51df1013
1771970440289185443,train,1522833038,3091911,2728045875,51200,102400,0.50000000,4736ac9d80924d0b
1771970443311257920,train,1524465289,2927211,2725919363,51200,102400,0.50000000,ca7081eba74b3d81
1771970446360011934,train,1526377662,2443396,2745006521,51200,102400,0.50000000,541a090fc95ed8a0
1771970449402967071,train,15307632,2939868,2751560505,51200,102400,0.50000000,406765691aeae08d
1771970451040128982,train,1531506078,3156724,1477204806,32768,65536,0.50000000,e7165cd1ae4183e0
1771970454044686387,train,1542708535,2543006,2721357066,51200,102400,0.50000000,9a1a08c333be53ea
1771970457045416335,train,1553955454,3793794,2711068571,51200,102400,0.50000000,8d005df15e0a9894
1771970460071386910,train,1556295020,2891353,2733309702,51200,102400,0.50000000,d47c89d1774ebbb0
1771970463093124321,train,1557465183,1504502,2725341983,51200,102400,0.50000000,4644c1a0e3f8fd26
1771970466104731226,train,1561013957,2875750,2723454927,51200,102400,0.50000000,485cf560175d6e6c
1771970469160793146,train,1565784049,1542879,2730358527,51200,102400,0.50000000,333a85f56b2d3ff4
1771970472177454385,train,1566185731,2988267,2726111206,51200,102400,0.50000000,afa6107068cac953
1771970475196999509,train,1577382633,1622505,2716887087,51200,102400,0.50000000,be9e906c32d931dd
1771970478255847322,train,1578248244,2678288,2733333771,51200,102400,0.50000000,b4219bc2c20373bf
1771970481276264952,train,158898728,3337492,2725645002,51200,102400,0.50000000,1e39053814d1fae0
1771970484257658128,train,1589119778,2657188,2690992552,51200,102400,0.50000000,8b855f54d885e0c2
1771970487268603311,train,159112826,2742358,2720277834,51200,102400,0.50000000,06c1769b301364a6
1771970490334110984,train,1596691633,2918125,2767722350,51200,102400,0.50000000,28a167b04e98652b
1771970493343406630,train,1603877492,3113252,2711133791,51200,102400,0.50000000,53e8c856344556ea
