problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.69,-0.69,0.0,0.0,0.1910897803,0.1910897803,0.0,0.0,1799621167,1826654694
correlated_fermions_non_hubbard,-1.3,-1.3,0.0,0.0,0.2815015687,0.2815015687,0.0,0.0,1975618107,1977117635
dense_nuclear_fullscale,-1.1,-1.1,0.0,0.0,0.3043995762,0.3043995762,0.0,0.0,1712871197,1713540663
far_from_equilibrium_kinetic_lattices,-0.9384848485,-0.9384848485,0.0,0.0,0.1035907984,0.1035907984,0.0,0.0,1974472677,1967282415
hubbard_hts_core,-1.04,-1.04,0.0,0.0,0.2407834265,0.2407834265,0.0,0.0,2354361626,2326238268
multi_correlated_fermion_boson_networks,-0.938,-0.938,0.0,0.0,0.223986695,0.223986695,0.0,0.0,2024228616,1968251614
multi_state_excited_chemistry,-1.4792592593,-1.4792592593,0.0,0.0,0.499086213,0.499086213,0.0,0.0,1887718766,1892662474
multiscale_nonlinear_field_models,-1.5,-1.5,0.0,0.0,0.1510284423,0.1510284423,0.0,0.0,1896630946,1884232214
qcd_lattice_fullscale,-0.8604938272,-0.8604938272,0.0,0.0,0.119818949,0.119818949,0.0,0.0,1798565706,1802387533
quantum_chemistry_fullscale,-1.7714285714,-1.7714285714,0.0,0.0,0.4143216295,0.4143216295,0.0,0.0,1811112767,1793477514
quantum_field_noneq,-1.26875,-1.26875,0.0,0.0,0.0658457361,0.0658457361,0.0,0.0,1725606867,1751690443
spin_liquid_exotic,-1.02,-1.02,0.0,0.0,0.447940729,0.447940729,0.0,0.0,2181918446,2152801947
topological_correlated_materials,-1.1681818182,-1.1681818182,0.0,0.0,0.3507768488,0.3507768488,0.0,0.0,2061955407,2075657966
