2052637524321,PHYSICS,INIT_MASS,3b9aca00
2052637853825,PHYSICS,INIT_SPIN,3b994360
2052638146530,PHYSICS,HORIZON_P,3c729356
2052638333236,METADATA_V3,EXTREMAL_STABILITY,f41dc
2052638531442,GEO_STEP,COORD_R,4013ffe5c91d14e4
2052638778935,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052638977398,GEO_STEP,VEL_R,bfb99c38b729fb0d
2052639184915,GEO_STEP,COORD_R,4013ffcb8f8af0e2
2052639368865,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052639579744,GEO_STEP,VEL_R,bfb99ed7db9a712c
2052639865446,GEO_STEP,COORD_R,4013ffb153498cf0
2052640159968,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052640431530,GEO_STEP,VEL_R,bfb9a17706ebcb33
2052640711143,GEO_STEP,COORD_R,4013ff971458e203
2052641019197,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052641337424,GEO_STEP,VEL_R,bfb9a416391ed86b
2052641611804,GEO_STEP,COORD_R,4013ff7cd2b8e90e
2052641875526,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052642180935,GEO_STEP,VEL_R,bfb9a6b572346826
2052642475489,GEO_STEP,COORD_R,4013ff628e699b05
2052642771156,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052643068380,GEO_STEP,VEL_R,bfb9a954b22d49c1
2052643357795,GEO_STEP,COORD_R,4013ff48476af0db
2052643647694,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052643969578,GEO_STEP,VEL_R,bfb9abf3f90a4ca4
2052644265308,GEO_STEP,COORD_R,4013ff2dfdbce381
2052644547192,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052644838620,GEO_STEP,VEL_R,bfb9ae9346cc4041
2052645143182,GEO_STEP,COORD_R,4013ff13b15f6be7
2052645434479,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052645728001,GEO_STEP,VEL_R,bfb9b1329b73f416
2052646040908,GEO_STEP,COORD_R,4013fef9625282fe
2052646327175,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052646593080,GEO_STEP,VEL_R,bfb9b3d1f70237ab
2052646809303,GEO_STEP,COORD_R,4013fedf109621b4
2052647055548,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052647282435,GEO_STEP,VEL_R,bfb9b6715977da93
2052647476869,GEO_STEP,COORD_R,4013fec4bc2a40f8
2052647659548,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052647844961,GEO_STEP,VEL_R,bfb9b910c2d5ac6c
2052648082996,GEO_STEP,COORD_R,4013feaa650ed9b7
2052648310459,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052648512120,GEO_STEP,VEL_R,bfb9bbb0331c7cde
2052648719078,GEO_STEP,COORD_R,4013fe900b43e4dd
2052649065873,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052649264351,GEO_STEP,VEL_R,bfb9be4faa4d1b9c
2052649464074,GEO_STEP,COORD_R,4013fe75aec95b57
2052649650556,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052649862987,GEO_STEP,VEL_R,bfb9c0ef28685865
2052650094238,GEO_STEP,COORD_R,4013fe5b4f9f360f
2052650350904,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052650647759,GEO_STEP,VEL_R,bfb9c38ead6f0301
2052650971182,GEO_STEP,COORD_R,4013fe40edc56def
2052651273813,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052651568532,GEO_STEP,VEL_R,bfb9c62e3961eb43
2052651857654,GEO_STEP,COORD_R,4013fe26893bfbe1
2052652169327,GEO_STEP,COORD_TH,3ff91eb851eb851f
2052652460574,GEO_STEP,VEL_R,bfb9c8cdcc41e10a
2052652757137,GEO_STEP,COORD_R,4013fe0c2202d8cd
