problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
hubbard_hts_core,0,1.9745977200,0.8661070331,0.0600000000,16.49,61.10,101310,0.0000000000e+00,0.0000000000
hubbard_hts_core,100,1.9832552962,0.8607295302,0.0800000000,16.49,61.10,1135920,0.0000000000e+00,0.0000000000
hubbard_hts_core,200,1.9841090029,0.8528771895,-0.0200000000,16.49,61.10,2067600,0.0000000000e+00,0.0000000000
hubbard_hts_core,300,1.9843257133,0.8508530961,0.0600000000,16.49,61.10,2987270,2.2204460493e-16,0.0000000000
hubbard_hts_core,400,1.9844181665,0.8507136853,0.1600000000,16.49,61.10,3933600,0.0000000000e+00,0.0000000000
hubbard_hts_core,500,1.9844602890,0.8512130413,0.0200000000,16.49,61.10,4865840,0.0000000000e+00,0.0000000000
hubbard_hts_core,600,1.9844809672,0.8511154745,0.1200000000,16.49,61.10,5810430,1.1102230246e-16,0.0000000000
hubbard_hts_core,700,1.9844925362,0.8512684057,0.0200000000,16.49,61.10,6765021,0.0000000000e+00,0.0000000000
hubbard_hts_core,800,1.9845007694,0.8514805694,-0.0400000000,16.49,61.10,7705291,2.2204460493e-16,0.0000000000
hubbard_hts_core,900,1.9845083177,0.8512622980,-0.0200000000,16.49,61.10,8645881,0.0000000000e+00,0.0000000000
hubbard_hts_core,1000,1.9845165879,0.8514000265,0.2400000000,16.49,61.10,9609021,0.0000000000e+00,0.0000000000
hubbard_hts_core,1100,1.9845266844,0.8520670814,-0.0400000000,16.49,61.10,10542181,0.0000000000e+00,0.0000000000
hubbard_hts_core,1200,1.9845398171,0.8524534949,-0.2000000000,16.49,61.10,11472381,4.4408920985e-16,0.0000000000
hubbard_hts_core,1300,1.9845576201,0.8522854382,0.0800000000,16.49,61.10,12420501,0.0000000000e+00,0.0000000000
hubbard_hts_core,1400,1.9845824220,0.8526988711,0.0600000000,16.49,61.10,13391171,1.1102230246e-16,0.0000000000
hubbard_hts_core,1500,1.9846158101,0.8519152314,0.1000000000,16.49,61.10,14358521,2.2204460493e-16,0.0000000000
hubbard_hts_core,1600,1.9846532585,0.8501709401,-0.0600000000,16.49,61.10,15319161,0.0000000000e+00,0.0000000000
hubbard_hts_core,1700,1.9846840398,0.8479676047,-0.1800000000,16.49,61.10,16272011,1.1102230246e-16,0.0000000000
hubbard_hts_core,1800,1.9847025071,0.8469847522,-0.1800000000,16.49,61.10,17190581,2.2204460493e-16,0.0000000000
hubbard_hts_core,1900,1.9847115902,0.8465461923,0.1000000000,16.49,61.10,18127912,2.2204460493e-16,0.0000000000
hubbard_hts_core,2000,1.9847161662,0.8465197595,0.0200000000,16.49,61.10,19065002,0.0000000000e+00,0.0000000000
hubbard_hts_core,2100,1.9847184346,0.8466799132,0.0600000000,16.49,61.10,20001862,2.2204460493e-16,0.0000000000
hubbard_hts_core,2200,1.9847195636,0.8469655119,0.1000000000,16.49,61.10,20962932,1.1102230246e-16,0.0000000000
hubbard_hts_core,2300,1.9847201763,0.8470687488,0.0400000000,16.49,61.10,21896622,1.1102230246e-16,0.0000000000
hubbard_hts_core,2400,1.9847205600,0.8471494807,0.1200000000,16.49,61.10,22858462,1.1102230246e-16,0.0000000000
hubbard_hts_core,2500,1.9847208404,0.8468033801,0.0200000000,16.49,61.10,23766262,2.2204460493e-16,0.0000000000
hubbard_hts_core,2600,1.9847210771,0.8466112003,0.1400000000,16.49,61.10,24705972,3.3306690739e-16,0.0000000000
hubbard_hts_core,2700,1.9847213026,0.8465964823,0.0200000000,16.49,61.10,25679042,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,0,2.2115829034,0.7878029476,-0.0864197531,16.49,61.10,45540,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,100,2.2189147992,0.7796401786,-0.1111111111,16.49,61.10,899780,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,200,2.2205925681,0.7709882572,-0.0617283951,16.49,61.10,1702890,2.2204460493e-16,0.0000000000
