mode,run,seed,rc,wins,losses,win_rate,nqubits_per_sec,nqubit_avg_score,baseline_avg_score,latency_p50_ns,latency_p95_ns,latency_p99_ns,used_hardware_entropy,margin_mean,margin_std,scenario_latency_mean_ns,max_qubits_width
hardware_preferred,0,0,0,239,121,0.663888888889,9249108.213,0.960617394954,0.935896845477,130910,183000,214460,True,0.024720549476558332,0.054602589102471615,141106.97222222222,36
hardware_preferred,1,0,0,227,133,0.630555555556,8867155.912,0.960853937862,0.941312426953,137360,194710,225890,True,0.019541510909355558,0.05298856810645614,148272.55277777778,36
hardware_preferred,2,0,0,250,110,0.694444444444,9499013.723,0.964820649549,0.939114774863,128890,176140,198900,True,0.02570587468593611,0.04900847038235903,137942.86111111112,36
hardware_preferred,3,0,0,231,129,0.641666666667,9056182.291,0.960373646733,0.937833297132,130900,190500,222630,True,0.022540349601350002,0.052480101536224705,144268.66666666666,36
hardware_preferred,4,0,0,245,115,0.680555555556,9106800.162,0.961450729779,0.939608160549,132350,187440,207440,True,0.02184256922977778,0.0526675810151514,143100.60833333334,36
hardware_preferred,5,0,0,228,132,0.633333333333,9046479.519,0.962933458718,0.94222113509,132960,183170,223900,True,0.020712323628241665,0.050047723959111265,144749.47222222222,36
hardware_preferred,6,0,0,224,136,0.622222222222,8890718.778,0.962082935652,0.940095561909,134200,187260,219020,True,0.021987373742569444,0.050306013556843415,147553.88888888888,36
hardware_preferred,7,0,0,234,126,0.65,8949795.006,0.961256410429,0.943413194021,132000,189180,222070,True,0.017843216408311113,0.05011172401447337,147002.4972222222,36
hardware_preferred,8,0,0,241,119,0.669444444444,8867254.196,0.964866948679,0.940432611983,137120,192150,226020,True,0.024434336695500002,0.05171987135295264,147859.13611111112,36
hardware_preferred,9,0,0,237,123,0.658333333333,8771769.522,0.962054988393,0.94023817723,139380,191670,211220,True,0.02181681116363889,0.051844150247239394,149215.08333333334,36
hardware_preferred,10,0,0,228,132,0.633333333333,8671542.264,0.961259744521,0.940162395733,136100,206650,241160,True,0.02109734878777222,0.05024272299673102,150788.4972222222,36
hardware_preferred,11,0,0,221,139,0.613888888889,9468508.745,0.96164610674,0.940397639048,129600,180730,209770,True,0.02124846769243611,0.05187297368594599,138659.30277777778,36
hardware_preferred,12,0,0,229,131,0.636111111111,8973647.921,0.960958621992,0.939158386386,132340,188520,223690,True,0.02180023560621667,0.05164119342705229,146006.11111111112,36
hardware_preferred,13,0,0,223,137,0.619444444444,8434128.843,0.962866922041,0.943381990157,143000,196010,230610,True,0.019484931884025,0.05098365869379889,155032.0,36
