problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.69,-0.0308471883,0.6591528117,95.529393,0.1910897803,0.8078602474,0.6167704670999999,322.7647580795297,1849568233,17880670
correlated_fermions_non_hubbard,-1.3,-0.0478348003,1.2521651997,96.32039997692307,0.2815015687,0.8556732854,0.5741717167,203.9675016205336,2002747153,31111410
dense_nuclear_fullscale,-1.1,-0.0700039273,1.0299960727000002,93.63600660909091,0.3043995762,0.8491039464,0.5447043702,178.94386615115135,1783314183,15402640
far_from_equilibrium_kinetic_lattices,-0.9384848485,-0.0400600551,0.8984247934,95.73141162971051,0.1035907984,0.7680019469,0.6644111485,641.3804688853523,2008512982,24193750
hubbard_hts_core,-1.04,-0.0393609195,1.0006390805,96.21529620192308,0.2407834265,0.8465964823,0.6058130557999999,251.60081181916394,2380575331,28538240
multi_correlated_fermion_boson_networks,-0.938,-0.0375115057,0.9004884943,96.00090557569297,0.223986695,0.839868451,0.615881756,274.96354459803956,2000961542,23963910
multi_state_excited_chemistry,-1.4792592593,-0.045915706,1.4333435533,96.89603389592925,0.499086213,0.9140348305,0.4149486175,83.14167105633912,1957648273,22664940
multiscale_nonlinear_field_models,-1.5,-0.0536217398,1.4463782602,96.42521734666666,0.1510284423,0.8065311939,0.6555027516,434.0260295460917,1940490403,22824760
qcd_lattice_fullscale,-0.8604938272,-0.0518114925,0.8086823347000001,93.97886529080729,0.119818949,0.761933568,0.642114619,535.9040655581114,1825283903,18315011
quantum_chemistry_fullscale,-1.7714285714,-0.0641439628,1.7072846086,96.37896984187708,0.4143216295,0.8758070719,0.46148544239999995,111.38338178407842,1912383983,13442071
quantum_field_noneq,-1.26875,-0.054441392,1.214308608,95.70905284729065,0.0658457361,0.6753830197,0.6095372836,925.7050185820614,1737169144,14020260
spin_liquid_exotic,-1.02,-0.0416594393,0.9783405607,95.91574124509803,0.447940729,0.9155257464,0.46758501739999997,104.38546600659748,2169624732,31173830
topological_correlated_materials,-1.1681818182,-0.0343380304,1.1338437878,97.06055770899516,0.3507768488,0.8966761212,0.5458992724,155.62579864307168,2090709912,30744330
