problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
hubbard_hts_core,0,1.9745923269,0.7158923070,0.0200000000,20.99,67.40,326180,2.2204460493e-16,0.0000000000
hubbard_hts_core,100,1.9828257763,0.7073688651,-0.0800000000,20.99,67.40,1371700,0.0000000000e+00,0.0000000000
hubbard_hts_core,200,1.9839568331,0.6886427030,-0.0600000000,20.99,67.39,2309040,0.0000000000e+00,0.0000000000
hubbard_hts_core,300,1.9842289668,0.6827343314,-0.0400000000,20.99,67.40,3278130,3.3306690739e-16,0.0000000000
hubbard_hts_core,400,1.9843555259,0.6800157414,-0.0200000000,20.99,67.40,4204390,1.1102230246e-16,0.0000000000
hubbard_hts_core,500,1.9844209465,0.6802651053,-0.0400000000,20.99,67.40,5114270,1.1102230246e-16,0.0000000000
hubbard_hts_core,600,1.9844616534,0.6812397388,-0.0600000000,20.99,67.40,6025220,0.0000000000e+00,0.0000000000
hubbard_hts_core,700,1.9844822995,0.6814665618,-0.0400000000,20.99,67.40,6933830,2.2204460493e-16,0.0000000000
hubbard_hts_core,800,1.9844941348,0.6819624753,-0.0400000000,20.99,67.40,7846640,3.3306690739e-16,0.0000000000
hubbard_hts_core,900,1.9845029226,0.6823541377,-0.0200000000,20.99,67.40,8776110,3.3306690739e-16,0.0000000000
hubbard_hts_core,1000,1.9845113799,0.6816920430,-0.0200000000,20.99,67.40,9669950,2.2204460493e-16,0.0000000000
hubbard_hts_core,1100,1.9845211156,0.6822792182,-0.0200000000,20.99,67.40,10584480,1.1102230246e-16,0.0000000000
hubbard_hts_core,1200,1.9845335947,0.6842970505,-0.0400000000,20.99,67.40,11525320,1.1102230246e-16,0.0000000000
hubbard_hts_core,1300,1.9845505576,0.6845205970,-0.0200000000,20.99,67.40,12564020,2.2204460493e-16,0.0000000000
hubbard_hts_core,1400,1.9845741259,0.6848766166,-0.0600000000,20.99,67.40,13606400,0.0000000000e+00,0.0000000000
hubbard_hts_core,1500,1.9846052428,0.6823805274,-0.1000000000,20.99,67.40,14647290,2.2204460493e-16,0.0000000000
hubbard_hts_core,1600,1.9846390392,0.6788496017,-0.0600000000,20.99,67.40,15609320,2.2204460493e-16,0.0000000000
hubbard_hts_core,1700,1.9846689129,0.6763314188,-0.0200000000,20.99,67.40,16528890,3.3306690739e-16,0.0000000000
hubbard_hts_core,1800,1.9846924498,0.6730879992,-0.0200000000,20.99,67.39,17440090,2.2204460493e-16,0.0000000000
hubbard_hts_core,1900,1.9847062978,0.6714746319,-0.0200000000,20.99,67.39,18334980,0.0000000000e+00,0.0000000000
hubbard_hts_core,2000,1.9847132986,0.6708271314,-0.0200000000,20.99,67.39,19252530,0.0000000000e+00,0.0000000000
hubbard_hts_core,2100,1.9847169571,0.6709604057,-0.0200000000,20.99,67.39,20156650,0.0000000000e+00,0.0000000000
hubbard_hts_core,2200,1.9847187963,0.6712358662,-0.0400000000,20.99,67.39,21061030,2.2204460493e-16,0.0000000000
hubbard_hts_core,2300,1.9847197293,0.6714141556,-0.0400000000,20.99,67.39,21965630,1.1102230246e-16,0.0000000000
hubbard_hts_core,2400,1.9847202541,0.6717851371,-0.0200000000,20.99,67.39,22860500,0.0000000000e+00,0.0000000000
hubbard_hts_core,2500,1.9847206019,0.6719877886,-0.0400000000,20.99,67.39,23769500,4.4408920985e-16,0.0000000000
hubbard_hts_core,2600,1.9847208724,0.6713195264,-0.0200000000,20.99,67.39,24664270,0.0000000000e+00,0.0000000000
hubbard_hts_core,2700,1.9847211096,0.6710523185,-0.0200000000,20.99,67.39,25629210,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,0,2.2115701842,0.5799614517,-0.0864197531,20.99,67.39,215690,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,100,2.2183077515,0.5665979855,-0.0617283951,20.99,67.39,1028870,4.4408920985e-16,0.0000000000
qcd_lattice_fullscale,200,2.2203858203,0.5474085161,-0.0617283951,20.99,67.39,1790460,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,300,2.2209070074,0.5425054885,-0.1604938272,20.99,67.39,2538180,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,400,2.2211013090,0.5387377562,-0.2098765432,20.99,67.39,3275770,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,500,2.2211894141,0.5340740893,-0.2345679012,20.99,67.39,4007160,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,600,2.2212513466,0.5282367072,-0.2839506173,20.99,67.39,4757090,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,700,2.2212891644,0.5259698272,-0.2839506173,20.99,67.39,5499320,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,800,2.2213075974,0.5255588436,-0.2592592593,20.99,67.39,6248910,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,900,2.2213151126,0.5259085343,-0.2345679012,20.99,67.39,6996140,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1000,2.2213175754,0.5255571974,-0.2345679012,20.99,67.39,7761700,5.5511151231e-16,0.0000000000
qcd_lattice_fullscale,1100,2.2213180898,0.5253047723,-0.2098765432,20.99,67.39,8554640,2.2204460493e-16,0.0000000000
