step,r,r_hex,g_tt,timestamp
51,2.9780778422115564,0x1.7d31a79c9ed54p+1,-0.3285205805445267,2026-02-14T02:37:41.480287
52,2.97765808646513,0x1.7d23e67204d28p+1,-0.3284259209680026,2026-02-14T02:37:41.480297
53,2.977238399638372,0x1.7d1625db6bcccp+1,-0.32833125024423937,2026-02-14T02:37:41.480307
54,2.976818781735765,0x1.7d0865d8d63afp+1,-0.32823656837610815,2026-02-14T02:37:41.480319
55,2.9763992327617887,0x1.7cfaa66a46937p+1,-0.32814187536648354,2026-02-14T02:37:41.480331
56,2.975979752720918,0x1.7cece78fbf4c2p+1,-0.3280471712182428,2026-02-14T02:37:41.480342
57,2.9755603416176264,0x1.7cdf294942da8p+1,-0.32795245593426625,2026-02-14T02:37:41.501518
58,2.9751409994563818,0x1.7cd16b96d3b37p+1,-0.3278577295174375,2026-02-14T02:37:41.501541
59,2.9747217262416505,0x1.7cc3ae78744b8p+1,-0.3277629919706423,2026-02-14T02:37:41.501552
60,2.974302521977895,0x1.7cb5f1ee2716bp+1,-0.32766824329677047,2026-02-14T02:37:41.501563
61,2.9738833866695735,0x1.7ca835f7ee888p+1,-0.32757348349871407,2026-02-14T02:37:41.501575
62,2.973464320321142,0x1.7c9a7a95cd140p+1,-0.3274787125793682,2026-02-14T02:37:41.501586
63,2.9730453229370526,0x1.7c8cbfc7c52bdp+1,-0.3273839305416314,2026-02-14T02:37:41.501599
64,2.972626394521754,0x1.7c7f058dd9420p+1,-0.3272891373884046,2026-02-14T02:37:41.501611
65,2.9722075350796913,0x1.7c714be80bc83p+1,-0.3271943331225923,2026-02-14T02:37:41.501624
66,2.971788744615307,0x1.7c6392d65f2f9p+1,-0.32709951774710133,2026-02-14T02:37:41.501635
67,2.971370023133039,0x1.7c55da58d5e8cp+1,-0.327004691264842,2026-02-14T02:37:41.501647
68,2.9709513706373225,0x1.7c48226f7263fp+1,-0.3269098536787276,2026-02-14T02:37:41.501658
69,2.9705327871325897,0x1.7c3a6b1a3710ep+1,-0.32681500499167415,2026-02-14T02:37:41.501669
70,2.9701142726232685,0x1.7c2cb459265ecp+1,-0.32672014520660064,2026-02-14T02:37:41.501679
71,2.9696958271137843,0x1.7c1efe2c42bc6p+1,-0.3266252743264293,2026-02-14T02:37:41.501690
72,2.9692774506085584,0x1.7c1148938e980p+1,-0.3265303923540853,2026-02-14T02:37:41.501700
73,2.9688591431120086,0x1.7c03938f0c5f6p+1,-0.3264354992924967,2026-02-14T02:37:41.501711
74,2.96844090462855,0x1.7bf5df1ebe7fep+1,-0.32634059514459446,2026-02-14T02:37:41.501721
75,2.968022735162594,0x1.7be82b42a7665p+1,-0.32624567991331277,2026-02-14T02:37:41.501732
76,2.967604634718548,0x1.7bda77fac97f1p+1,-0.3261507536015885,2026-02-14T02:37:41.501743
