step,r,r_hex,g_tt,timestamp
51,2.4813718292449294,0x1.3d9d9793e94d3p+1,-0.19411009111405575,2026-02-14T02:37:41.441973
52,2.4810154269716667,0x1.3d91e9dbdb7e1p+1,-0.19399431780003584,2026-02-14T02:37:41.441984
53,2.480659093818799,0x1.3d863cb83d05cp+1,-0.19387853367588515,2026-02-14T02:37:41.441996
54,2.480302829786073,0x1.3d7a90290dc09p+1,-0.19376273874654204,2026-02-14T02:37:41.442008
55,2.479946634873231,0x1.3d6ee42e4d8a3p+1,-0.1936469330169479,2026-02-14T02:37:41.442022
56,2.4795905090800088,0x1.3d6338c7fc3d9p+1,-0.19353111649204746,2026-02-14T02:37:41.442034
57,2.479234452406139,0x1.3d578df619b50p+1,-0.19341528917678796,2026-02-14T02:37:41.442047
58,2.4788784648513498,0x1.3d4be3b8a5ca3p+1,-0.19329945107612,2026-02-14T02:37:41.442058
59,2.4785225464153626,0x1.3d403a0fa0560p+1,-0.1931836021949973,2026-02-14T02:37:41.442098
60,2.4781666970978957,0x1.3d3490fb0930cp+1,-0.19306774253837633,2026-02-14T02:37:41.442110
61,2.4778109168986617,0x1.3d28e87ae0320p+1,-0.19295187211121678,2026-02-14T02:37:41.442122
62,2.477455205817369,0x1.3d1d408f2530bp+1,-0.19283599091848136,2026-02-14T02:37:41.442138
63,2.4770995638537205,0x1.3d119937d8031p+1,-0.19272009896513576,2026-02-14T02:37:41.442155
64,2.4767439910074147,0x1.3d05f274f87eap+1,-0.19260419625614866,2026-02-14T02:37:41.442167
65,2.476388487278145,0x1.3cfa4c4686784p+1,-0.19248828279649188,2026-02-14T02:37:41.442179
66,2.4760330526656,0x1.3ceea6ac81c42p+1,-0.19237235859114,2026-02-14T02:37:41.442191
67,2.475677687169464,0x1.3ce301a6ea35dp+1,-0.1922564236450709,2026-02-14T02:37:41.442202
68,2.4753223907894157,0x1.3cd75d35bfa01p+1,-0.1921404779632656,2026-02-14T02:37:41.442214
69,2.4749671635251294,0x1.3ccbb95901d51p+1,-0.19202452155070748,2026-02-14T02:37:41.442226
70,2.474612005376274,0x1.3cc01610b0a64p+1,-0.19190855441238386,2026-02-14T02:37:41.442238
71,2.4742569163425148,0x1.3cb4735ccbe47p+1,-0.19179257655328408,2026-02-14T02:37:41.442250
72,2.4739018964235107,0x1.3ca8d13d535fbp+1,-0.19167658797840148,2026-02-14T02:37:41.442282
73,2.4735469456189167,0x1.3c9d2fb246e77p+1,-0.19156058869273174,2026-02-14T02:37:41.442294
74,2.473192063928383,0x1.3c918ebba64a7p+1,-0.19144457870127374,2026-02-14T02:37:41.442306
75,2.472837251351555,0x1.3c85ee597156cp+1,-0.1913285580090297,2026-02-14T02:37:41.442317
76,2.4724825078880723,0x1.3c7a4e8ba7d9cp+1,-0.1912125266210042,2026-02-14T02:37:41.442334
77,2.472127833537571,0x1.3c6eaf5249a02p+1,-0.1910964845422054,2026-02-14T02:37:41.442346
78,2.471773228299681,0x1.3c6310ad5675ep+1,-0.19098043177764445,2026-02-14T02:37:41.442369
79,2.471418692174029,0x1.3c57729cce266p+1,-0.190864368332335,2026-02-14T02:37:41.442381
80,2.4710642251602355,0x1.3c4bd520b07c4p+1,-0.19074829421129436,2026-02-14T02:37:41.442392
81,2.470709827257916,0x1.3c403838fd417p+1,-0.1906322094195425,2026-02-14T02:37:41.442408
82,2.4703554984666827,0x1.3c349be5b43f4p+1,-0.19051611396210233,2026-02-14T02:37:41.442420
83,2.470001238786141,0x1.3c290026d53e4p+1,-0.1904000078439999,2026-02-14T02:37:41.442431
84,2.469647048215893,0x1.3c1d64fc60067p+1,-0.19028389107026433,2026-02-14T02:37:41.442443
85,2.4692929267555357,0x1.3c11ca66545f0p+1,-0.1901677636459279,2026-02-14T02:37:41.442455
86,2.46893887440466,0x1.3c063064b20e7p+1,-0.1900516255760254,2026-02-14T02:37:41.442467
87,2.468584891162853,0x1.3bfa96f778dabp+1,-0.18993547686559487,2026-02-14T02:37:41.442490
88,2.4682309770296977,0x1.3beefe1ea888fp+1,-0.18981931751967773,2026-02-14T02:37:41.442502
89,2.4678771320047708,0x1.3be365da40ddbp+1,-0.18970314754331785,2026-02-14T02:37:41.442514
90,2.4675233560876446,0x1.3bd7ce2a419ccp+1,-0.18958696694156252,2026-02-14T02:37:41.442526
91,2.4671696492778867,0x1.3bcc370eaa894p+1,-0.1894707757194618,2026-02-14T02:37:41.442537
92,2.46681601157506,0x1.3bc0a0877b65bp+1,-0.18935457388206867,2026-02-14T02:37:41.442549
93,2.4664624429787225,0x1.3bb50a94b3f3dp+1,-0.1892383614344395,2026-02-14T02:37:41.442561
94,2.4661089434884267,0x1.3ba9753653f4bp+1,-0.18912213838163328,2026-02-14T02:37:41.442573
95,2.465755513103721,0x1.3b9de06c5b28cp+1,-0.18900590472871215,2026-02-14T02:37:41.442584
96,2.4654021518241485,0x1.3b924c36c94fbp+1,-0.1888896604807414,2026-02-14T02:37:41.442596
97,2.4650488596492477,0x1.3b86b8959e289p+1,-0.1887734056427891,2026-02-14T02:37:41.442608
98,2.464695636578552,0x1.3b7b2588d971bp+1,-0.1886571402199263,2026-02-14T02:37:41.442619
99,2.46434248261159,0x1.3b6f93107ae8cp+1,-0.18854086421722716,2026-02-14T02:37:41.442631
