step,r,r_hex,g_tt,timestamp
61,2.477810916898662,0x1.3d28e87ae032p+1,-0.192951872111217,2026-02-14T...
62,2.477455205817369,0x1.3d1d408f2530bp+1,-0.192835990918481,2026-02-14T...
63,2.477099563853721,0x1.3d119937d8031p+1,-0.192720098965136,2026-02-14T...
64,2.476743991007415,0x1.3d05f274f87eap+1,-0.192604196256149,2026-02-14T...
65,2.476388487278145,0x1.3cfa4c4686784p+1,-0.192488282796492,2026-02-14T...
66,2.476033052665600,0x1.3ceea6ac81c42p+1,-0.192372358591140,2026-02-14T...
67,2.475677687169464,0x1.3ce301a6ea35dp+1,-0.192256423645071,2026-02-14T...
68,2.475322390789416,0x1.3cd75d35bfa01p+1,-0.192140477963266,2026-02-14T...
69,2.474967163525129,0x1.3ccbb95901d51p+1,-0.192024521550707,2026-02-14T...
70,2.474612005376274,0x1.3cc01610b0a64p+1,-0.191908554412384,2026-02-14T...
71,2.474256916342515,0x1.3cb4735ccbe47p+1,-0.191792576553284,2026-02-14T...
72,2.473901896423511,0x1.3ca8d13d535fbp+1,-0.191676587978401,2026-02-14T...
73,2.473546945618917,0x1.3c9d2fb246e77p+1,-0.191560588692732,2026-02-14T...
74,2.473192063928383,0x1.3c918ebba64a7p+1,-0.191444578701274,2026-02-14T...
75,2.472837251351555,0x1.3c85ee597156cp+1,-0.191328558009030,2026-02-14T...
76,2.472482507888072,0x1.3c7a4e8ba7d9cp+1,-0.191212526621004,2026-02-14T...
77,2.472127833537571,0x1.3c6eaf5249a02p+1,-0.191096484542205,2026-02-14T...
78,2.471773228299681,0x1.3c6310ad5675ep+1,-0.190980431777644,2026-02-14T...
79,2.471418692174029,0x1.3c57729cce266p+1,-0.190864368332335,2026-02-14T...
80,2.471064225160235,0x1.3c4bd520b07c4p+1,-0.190748294211294,2026-02-14T...
81,2.470709827257916,0x1.3c403838fd417p+1,-0.190632209419543,2026-02-14T...
82,2.470355498466683,0x1.3c349be5b43f4p+1,-0.190516113962102,2026-02-14T...
83,2.470001238786141,0x1.3c290026d53e4p+1,-0.190400007844000,2026-02-14T...
84,2.469647048215893,0x1.3c1d64fc60067p+1,-0.190283891070264,2026-02-14T...
85,2.469292926755536,0x1.3c11ca66545fp+1,-0.190167763645928,2026-02-14T...
86,2.468938874404660,0x1.3c063064b20e7p+1,-0.190051625576025,2026-02-14T...
87,2.468584891162853,0x1.3bfa96f778dabp+1,-0.189935476865595,2026-02-14T...
88,2.468230977029698,0x1.3beefe1ea888fp+1,-0.189819317519678,2026-02-14T...
89,2.467877132004771,0x1.3be365da40ddbp+1,-0.189703147543318,2026-02-14T...
90,2.467523356087645,0x1.3bd7ce2a419ccp+1,-0.189586966941563,2026-02-14T...
91,2.467169649277887,0x1.3bcc370eaa894p+1,-0.189470775719462,2026-02-14T...
92,2.466816011575060,0x1.3bc0a0877b65bp+1,-0.189354573882069,2026-02-14T...
93,2.466462442978723,0x1.3bb50a94b3f3dp+1,-0.189238361434440,2026-02-14T...
94,2.466108943488427,0x1.3ba9753653f4bp+1,-0.189122138381633,2026-02-14T...
95,2.465755513103721,0x1.3b9de06c5b28cp+1,-0.189005904728712,2026-02-14T...
96,2.465402151824148,0x1.3b924c36c94fbp+1,-0.188889660480741,2026-02-14T...
97,2.465048859649248,0x1.3b86b8959e289p+1,-0.188773405642789,2026-02-14T...
98,2.464695636578552,0x1.3b7b2588d971bp+1,-0.188657140219926,2026-02-14T...
99,2.464342482611590,0x1.3b6f93107ae8cp+1,-0.188540864217227,2026-02-14T...
