problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-0.1263394256,0.8661070331,0.0600000000,17.71,67.18,98471,0.0000000000e+00,0.0000000000
hubbard_hts_core,100,-0.0588112935,0.8607295302,0.0800000000,17.71,67.18,1201320,0.0000000000e+00,0.0000000000
hubbard_hts_core,200,-0.0457691579,0.8528771895,-0.0200000000,17.71,67.18,2248751,0.0000000000e+00,0.0000000000
hubbard_hts_core,300,-0.0436057186,0.8508530961,0.0600000000,17.71,67.18,3284540,2.2204460493e-16,0.0000000000
hubbard_hts_core,400,-0.0426319944,0.8507136853,0.1600000000,17.71,67.18,4374391,0.0000000000e+00,0.0000000000
hubbard_hts_core,500,-0.0422399550,0.8512130413,0.0200000000,17.71,67.18,5536631,0.0000000000e+00,0.0000000000
hubbard_hts_core,600,-0.0420246854,0.8511154745,0.1200000000,17.71,67.18,6589600,1.1102230246e-16,0.0000000000
hubbard_hts_core,700,-0.0420352614,0.8512684057,0.0200000000,17.71,67.18,7651091,0.0000000000e+00,0.0000000000
hubbard_hts_core,800,-0.0420041980,0.8514805694,-0.0400000000,17.71,67.18,8688560,2.2204460493e-16,0.0000000000
hubbard_hts_core,900,-0.0419162479,0.8512622980,-0.0200000000,17.71,67.18,9706411,0.0000000000e+00,0.0000000000
hubbard_hts_core,1000,-0.0419323374,0.8514000265,0.2400000000,17.71,67.18,10738980,0.0000000000e+00,0.0000000000
hubbard_hts_core,1100,-0.0418688455,0.8520670814,-0.0400000000,17.71,67.18,11786941,0.0000000000e+00,0.0000000000
hubbard_hts_core,1200,-0.0416534402,0.8524534949,-0.2000000000,17.71,67.18,12828271,4.4408920985e-16,0.0000000000
hubbard_hts_core,1300,-0.0413836307,0.8522854382,0.0800000000,17.71,67.18,13856751,0.0000000000e+00,0.0000000000
hubbard_hts_core,1400,-0.0412497410,0.8526988711,0.0600000000,17.71,67.18,14891841,1.1102230246e-16,0.0000000000
hubbard_hts_core,1500,-0.0407944818,0.8519152314,0.1000000000,17.71,67.18,15931811,2.2204460493e-16,0.0000000000
hubbard_hts_core,1600,-0.0401289383,0.8501709401,-0.0600000000,17.71,67.18,16972221,0.0000000000e+00,0.0000000000
hubbard_hts_core,1700,-0.0397455126,0.8479676047,-0.1800000000,17.71,67.18,18015351,1.1102230246e-16,0.0000000000
hubbard_hts_core,1800,-0.0394627122,0.8469847522,-0.1800000000,17.71,67.18,19082551,2.2204460493e-16,0.0000000000
hubbard_hts_core,1900,-0.0393637178,0.8465461923,0.1000000000,17.71,67.18,20143421,2.2204460493e-16,0.0000000000
hubbard_hts_core,2000,-0.0393867271,0.8465197595,0.0200000000,17.71,67.18,21200081,0.0000000000e+00,0.0000000000
hubbard_hts_core,2100,-0.0393906446,0.8466799132,0.0600000000,17.71,67.18,22292431,2.2204460493e-16,0.0000000000
hubbard_hts_core,2200,-0.0393653750,0.8469655119,0.1000000000,17.71,67.18,23366111,1.1102230246e-16,0.0000000000
hubbard_hts_core,2300,-0.0393073854,0.8470687488,0.0400000000,17.71,67.18,24388831,1.1102230246e-16,0.0000000000
hubbard_hts_core,2400,-0.0392685313,0.8471494807,0.1200000000,17.71,67.18,25427431,1.1102230246e-16,0.0000000000
hubbard_hts_core,2500,-0.0392589294,0.8468033801,0.0200000000,17.71,67.18,26460321,2.2204460493e-16,0.0000000000
hubbard_hts_core,2600,-0.0393064558,0.8466112003,0.1400000000,17.71,67.18,27502031,3.3306690739e-16,0.0000000000
hubbard_hts_core,2700,-0.0393609195,0.8465964823,0.0200000000,17.71,67.18,28542331,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,0,-0.1192180331,0.7878029476,-0.0864197531,17.71,67.18,53160,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,100,-0.0816060120,0.7796401786,-0.1111111111,17.71,67.18,964620,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,200,-0.0614221518,0.7709882572,-0.0617283951,17.71,67.18,1811460,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,300,-0.0560751918,0.7701247572,0.1851851852,17.71,67.18,2806380,2.2204460493e-16,0.0000000000
