problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.0704642093,-0.0704642093,0.0,0.0,0.9328802016,0.9328802016,0.0,0.0,1119091323,1100925189
correlated_fermions_non_hubbard,-0.1865079805,-0.1865079805,0.0,0.0,0.9512048623,0.9512048623,0.0,0.0,1194607524,1178063651
dense_nuclear_proxy,-0.0450423537,-0.0450423537,0.0,0.0,0.9487775861,0.9487775861,0.0,0.0,1106193549,1058749774
far_from_equilibrium_kinetic_lattices,-0.1732408341,-0.1732408341,0.0,0.0,0.9263699645,0.9263699645,0.0,0.0,1165724249,1162594661
hubbard_hts_core,-0.1426978513,-0.1426978513,0.0,0.0,0.9450982742,0.9450982742,0.0,0.0,1447265244,1447840632
multi_correlated_fermion_boson_networks,-0.20202595,-0.20202595,0.0,0.0,0.9473697227,0.9473697227,0.0,0.0,1288955286,1149102340
multi_state_excited_chemistry,-0.2928351493,-0.2928351493,0.0,0.0,0.9702019852,0.9702019852,0.0,0.0,1199429741,1120137207
multiscale_nonlinear_field_models,-0.2341092794,-0.2341092794,0.0,0.0,0.9303610515,0.9303610515,0.0,0.0,1137775563,1114038731
qcd_lattice_proxy,-0.0566371128,-0.0566371128,0.0,0.0,0.9183643772,0.9183643772,0.0,0.0,1218179822,1139677703
quantum_chemistry_proxy,-0.2803193978,-0.2803193978,0.0,0.0,0.9560868416,0.9560868416,0.0,0.0,1201756490,1078532901
quantum_field_noneq,-0.2039803879,-0.2039803879,0.0,0.0,0.8905726415,0.8905726415,0.0,0.0,1159838302,1066829748
spin_liquid_exotic,-0.1358075145,-0.1358075145,0.0,0.0,0.9733711359,0.9733711359,0.0,0.0,1361244418,1289179222
topological_correlated_materials,-0.206112866,-0.206112866,0.0,0.0,0.9639680167,0.9639680167,0.0,0.0,1278312051,1302658103
