131988747641565,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988748291802,GEO_STEP,VEL_R,bfba02a1bd4aec0e
131988748898594,GEO_STEP,COORD_R,4023f77bfda4389e
131988749658655,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988749968853,GEO_STEP,VEL_R,bfba05eb65c9fc56
131988751122452,GEO_STEP,COORD_R,4023f7395f20a4ad
131988751820816,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988752540117,GEO_STEP,VEL_R,bfba09352439e0ee
131988753241008,GEO_STEP,COORD_R,4023f6f6b8323375
131988754101402,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988754977001,GEO_STEP,VEL_R,bfba0c7ef89e3b55
131988755740052,GEO_STEP,COORD_R,4023f6b408d8acc1
131988756457587,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988756946797,GEO_STEP,VEL_R,bfba0fc8e2faad7e
131988757463802,GEO_STEP,COORD_R,4023f6715113d854
131988757961092,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988758499335,GEO_STEP,VEL_R,bfba1312e352d9cc
131988758968817,GEO_STEP,COORD_R,4023f62e90e37de6
131988759478795,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988759957968,GEO_STEP,VEL_R,bfba165cf9aa6314
131988760516052,GEO_STEP,COORD_R,4023f5ebc8476528
131988760995154,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988761564628,GEO_STEP,VEL_R,bfba19a72604ec9c
131988762053942,GEO_STEP,COORD_R,4023f5a8f73f55bf
131988762543010,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988763056593,GEO_STEP,VEL_R,bfba1cf168661a1c
131988763535951,GEO_STEP,COORD_R,4023f5661dcb1749
131988764121572,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988764711317,GEO_STEP,VEL_R,bfba203bc0d18fbe
131988765407181,GEO_STEP,COORD_R,4023f5233bea7159
131988766335116,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988767007828,GEO_STEP,VEL_R,bfba23862f4af21d
131988767638501,GEO_STEP,COORD_R,4023f4e0519d2b7a
131988768496515,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988769299840,GEO_STEP,VEL_R,bfba26d0b3d5e648
131988769826205,GEO_STEP,COORD_R,4023f49d5ee30d2d
131988770494800,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988772124030,GEO_STEP,VEL_R,bfba2a1b4e7611be
131988772780845,GEO_STEP,COORD_R,4023f45a63bbddea
131988773653754,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988774406179,GEO_STEP,VEL_R,bfba2d65ff2f1a71
131988775095636,GEO_STEP,COORD_R,4023f4176027651f
131988775537882,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988776117134,GEO_STEP,VEL_R,bfba30b0c604a6c6
131988776731873,GEO_STEP,COORD_R,4023f3d454256a32
131988777378818,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988777918446,GEO_STEP,VEL_R,bfba33fba2fa5d94
131988778576076,GEO_STEP,COORD_R,4023f3913fb5b47e
131988779270657,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988779832028,GEO_STEP,VEL_R,bfba37469613e623
131988780524791,GEO_STEP,COORD_R,4023f34e22d80b55
131988781171935,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988781697485,GEO_STEP,VEL_R,bfba3a919f54e830
131988782361678,GEO_STEP,COORD_R,4023f30afd8c3601
131988782879727,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988783601144,GEO_STEP,VEL_R,bfba3ddcbec10be9
131988784295834,GEO_STEP,COORD_R,4023f2c7cfd1fbc1
131988784861151,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988785338266,GEO_STEP,VEL_R,bfba4127f45bf9f0
131988785732069,GEO_STEP,COORD_R,4023f28499a923cb
