step,timestamp_ns,radius_m,shell_thickness_m,v_over_c,v_m_s,negative_energy_j,power_proxy_w,feasible_now,warning,chain_hash,prev_hash
448,1772577260299772197,78.40926741988216,1.1976756804663744,0.35322009113368874,105892719.33595255,-7.751101893374976e+46,4.372786488338532e+37,False,requires_exotic_negative_energy,7c992c8040b34167d750128669e72240f8ccbf2283039adb5ed860b060b50098,02f48bb0ad6bd69032140426778b107d9b823d9f2fe930aa774c397783052eee
449,1772577260299773197,78.55309023432812,1.1905848387591556,0.3533825517750192,105941423.81094527,-7.833096815535526e+46,4.4190439485897585e+37,False,requires_exotic_negative_energy,05899a21de24e8991681ecce4f249759d778cf496e25f27c310ec876580028f8,7c992c8040b34167d750128669e72240f8ccbf2283039adb5ed860b060b50098
450,1772577260299774197,78.85619771259334,1.1838693498193498,0.3534760980684338,105969468.28418481,-7.942643694089681e+46,4.480844853412166e+37,False,requires_exotic_negative_energy,cb5a13899daf4ba7e1283b74b1c61d10f4e237cf221ce10ce1510788379ae012,05899a21de24e8991681ecce4f249759d778cf496e25f27c310ec876580028f8
451,1772577260299775197,79.28522193228065,1.1777969389990366,0.353498824150478,105976281.39218156,-8.071738919860843e+46,4.553673964256861e+37,False,requires_exotic_negative_energy,bc774d80292eb557d0d6824d6964d1f0caf83e3b6d7b5db7825fcc46b90edce7,cb5a13899daf4ba7e1283b74b1c61d10f4e237cf221ce10ce1510788379ae012
452,1772577260299776197,79.79293328707698,1.1726096941550208,0.3534502670117941,105961724.32822207,-8.20935614724388e+46,4.631310764900325e+37,False,requires_exotic_negative_energy,93c1179a83ca0d5d05066755da322fdd8687aee0f83d57edc709a8e3a40625ca,bc774d80292eb557d0d6824d6964d1f0caf83e3b6d7b5db7825fcc46b90edce7
453,1772577260299777197,80.32343981026506,1.1685144143699364,0.3533314159302328,105926093.67034486,-8.342421309891818e+46,4.706379516840328e+37,False,requires_exotic_negative_energy,ee33f3b01524a5afff4bb73c69a1ea6062543671544ab2c9195e47f36cae144c,93c1179a83ca0d5d05066755da322fdd8687aee0f83d57edc709a8e3a40625ca
454,1772577260299778197,80.81834010377237,1.1656743655254114,0.35314469231582085,105870115.33901365,-8.457170017642397e+46,4.771115035184486e+37,False,requires_exotic_negative_energy,a95d2b262a54b395b5dff6f0f23328326ad13eab19b6a9b7d71abc026933202d,ee33f3b01524a5afff4bb73c69a1ea6062543671544ab2c9195e47f36cae144c
455,1772577260299779197,81.22315252075018,1.1642027714065846,0.3528939003782154,105794929.80759232,-8.540758591202475e+46,4.818271554356992e+37,False,requires_exotic_negative_energy,7d417473a056cae8ed48ef4214ba5e4fbf12fd8c98c78acacecf6f0fa4646acd,a95d2b262a54b395b5dff6f0f23328326ad13eab19b6a9b7d71abc026933202d
456,1772577260299780197,81.49331283799818,1.1641582998270903,0.3525841496217172,105702068.86693437,-8.582910120592327e+46,4.842051352470118e+37,False,requires_exotic_negative_energy,f00fdeb83beab61e272769c5756c74ff67de2ff3ab5404f1b1f512d816e99c64,7d417473a056cae8ed48ef4214ba5e4fbf12fd8c98c78acacecf6f0fa4646acd
457,1772577260299781197,81.59908015782452,1.1655427237284646,0.3522217507468922,105593424.41747415,-8.577322898468134e+46,4.838899319411061e+37,False,requires_exotic_negative_energy,3924266811410861a0da2f7e2f2249e6290b466fecbd0bd40960dfeb26f2ac96,f00fdeb83beab61e272769c5756c74ff67de2ff3ab5404f1b1f512d816e99c64
