problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-25.3327027517,99.7079476457,-0.0400000000,20.34,62.45,1183230
hubbard_hts_core,100,-2451.4123879353,9934.2996379759,0.0081188119,20.34,62.45,53187947
hubbard_hts_core,200,-4724.5076812523,19659.1815747055,0.0046766169,20.34,62.45,104632324
hubbard_hts_core,300,-6808.2110964872,29302.6643065477,-0.0007308970,20.34,62.45,156791851
hubbard_hts_core,400,-8530.9327066274,38826.6333438222,-0.0010972569,20.34,62.45,208637178
hubbard_hts_core,500,-9785.9948651306,48223.7610279538,-0.0002794411,20.34,62.44,261351935
hubbard_hts_core,600,-10161.9532435754,57454.5108737258,0.0020299501,20.34,62.45,313918042
hubbard_hts_core,700,-8399.7725360135,66429.8916707475,0.0021968616,20.34,62.47,365773109
hubbard_hts_core,800,-2332.7247023032,75040.3018557645,0.0006991261,20.34,62.49,417867267
hubbard_hts_core,900,11814.6690405440,83221.9392671542,-0.0004661487,20.34,62.51,471932364
hubbard_hts_core,1000,36851.8126760151,90973.9205415079,-0.0011388611,20.34,62.51,525351871
hubbard_hts_core,1100,72291.8313531394,98299.1524595576,-0.0016893733,20.34,62.51,578932548
hubbard_hts_core,1200,117492.5124370022,105231.4488643268,-0.0023147377,20.34,62.51,630301095
hubbard_hts_core,1300,171059.7311766527,111853.8147306630,-0.0026594927,20.34,62.51,689867222
hubbard_hts_core,1400,232362.2082232313,118179.4199893170,-0.0026552463,20.34,62.51,758326358
hubbard_hts_core,1500,299221.7283896144,124254.9600090182,-0.0012791472,20.34,62.51,817840995
hubbard_hts_core,1600,372047.0811679452,130128.8007914095,-0.0007245472,20.34,62.51,883220021
hubbard_hts_core,1700,449428.9694101125,135873.8776394879,-0.0009876543,20.34,62.51,934076228
hubbard_hts_core,1800,529480.0676372427,141543.1338851580,-0.0013659078,20.34,62.51,988730855
hubbard_hts_core,1900,610844.0390047064,147173.5808651521,-0.0011783272,20.34,62.51,1040125622
