problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,1.2867385334,1.2867385334,0.0,0.0,0.8070687461,0.8070687461,0.0,0.0,1148677004,16865510
correlated_fermions_non_hubbard,2.1335664699,2.1335664699,0.0,0.0,0.8557319909,0.8557319909,0.0,0.0,1231023725,21612180
dense_nuclear_fullscale,2.7096749256,2.7096749256,0.0,0.0,0.8483174799,0.8483174799,0.0,0.0,1189035784,14550860
far_from_equilibrium_kinetic_lattices,1.984457584,1.984457584,0.0,0.0,0.7705949996,0.7705949996,0.0,0.0,1228974434,22899010
hubbard_hts_core,1.9847211096,1.9847211096,0.0,0.0,0.8466944264,0.8466944264,0.0,0.0,1463744935,26891000
multi_correlated_fermion_boson_networks,1.8374762322,1.8374762322,0.0,0.0,0.8423345314,0.8423345314,0.0,0.0,1236443465,22746580
multi_state_excited_chemistry,1.6944832679,1.6944832679,0.0,0.0,0.9138746172,0.9138746172,0.0,0.0,1226243644,18409860
multiscale_nonlinear_field_models,2.284663283,2.284663283,0.0,0.0,0.8068368999,0.8068368999,0.0,0.0,1195883125,21195020
qcd_lattice_fullscale,2.2213200331,2.2213200331,0.0,0.0,0.7624936121,0.7624936121,0.0,0.0,1122702414,16902390
quantum_chemistry_fullscale,1.6206796268,1.6206796268,0.0,0.0,0.8753243009,0.8753243009,0.0,0.0,1322411805,12442430
quantum_field_noneq,1.7379608594,1.7379608594,0.0,0.0,0.6756231511,0.6756231511,0.0,0.0,1064262914,13316640
spin_liquid_exotic,2.6034391697,2.6034391697,0.0,0.0,0.9155070662,0.9155070662,0.0,0.0,1411028425,29207720
topological_correlated_materials,1.9389457561,1.9389457561,0.0,0.0,0.897796144,0.897796144,0.0,0.0,1303665615,31838070
