problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,0.0000257143,1.0000000000,-0.0600000000,0.00,0.00,581358829
hubbard_hts_core,1400,0.0000128571,1.0000000000,-0.1200000000,0.00,0.00,1211564287
hubbard_hts_core,2100,0.0000085714,1.0000000000,-0.0200000000,0.00,0.00,1761351127
hubbard_hts_core,2800,0.0000064286,1.0000000000,-0.1200000000,0.00,0.00,2321434137
qcd_lattice_fullscale,700,0.0000379189,1.0000000000,0.0123456790,0.00,0.00,579255059
qcd_lattice_fullscale,1400,0.0000189594,1.0000000000,0.0864197531,0.00,0.00,1163059059
qcd_lattice_fullscale,2100,0.0000126396,1.0000000000,0.0370370370,0.00,0.00,1740971398
qcd_lattice_fullscale,2200,0.0000120651,1.0000000000,-0.0370370370,0.00,0.00,1829311186
quantum_field_noneq,700,0.0000379464,1.0000000000,0.1562500000,0.00,0.00,581497709
quantum_field_noneq,1400,0.0000189732,1.0000000000,0.0625000000,0.00,0.00,1159444198
quantum_field_noneq,2100,0.0000126488,1.0000000000,-0.1250000000,0.00,0.00,1777156138
quantum_field_noneq,2100,0.0000126488,1.0000000000,-0.1250000000,0.00,0.00,1740366228
dense_nuclear_fullscale,700,0.0000486111,1.0000000000,0.0277777778,0.00,0.00,579864539
dense_nuclear_fullscale,1400,0.0000243056,1.0000000000,0.0833333333,0.00,0.00,1163318329
dense_nuclear_fullscale,2100,0.0000162037,1.0000000000,-0.0555555556,0.00,0.00,1747668778
dense_nuclear_fullscale,2100,0.0000162037,1.0000000000,-0.0555555556,0.00,0.00,1746006358
quantum_chemistry_fullscale,700,0.0000312500,1.0000000000,0.0714285714,0.00,0.00,583761710
quantum_chemistry_fullscale,1400,0.0000156250,1.0000000000,-0.1428571429,0.00,0.00,1165894679
quantum_chemistry_fullscale,2100,0.0000104167,1.0000000000,0.1428571429,0.00,0.00,1746564478
quantum_chemistry_fullscale,2200,0.0000099432,1.0000000000,0.0714285714,0.00,0.00,1830316537
spin_liquid_exotic,700,0.0000298214,1.0000000000,0.1000000000,0.00,0.00,583688379
spin_liquid_exotic,1400,0.0000149107,1.0000000000,-0.0166666667,0.00,0.00,1166598559
spin_liquid_exotic,2100,0.0000099405,1.0000000000,0.0000000000,0.00,0.00,1767796628
spin_liquid_exotic,2600,0.0000080288,1.0000000000,-0.0166666667,0.00,0.00,2170137402
topological_correlated_materials,700,0.0000212515,1.0000000000,0.0082644628,0.00,0.00,584206159
topological_correlated_materials,1400,0.0000106257,1.0000000000,-0.2561983471,0.00,0.00,1160920369
topological_correlated_materials,2100,0.0000070838,1.0000000000,-0.1074380165,0.00,0.00,1744103059
topological_correlated_materials,2500,0.0000059504,1.0000000000,0.1404958678,0.00,0.00,2081090743
correlated_fermions_non_hubbard,700,0.0000312698,1.0000000000,0.0888888889,0.00,0.00,582040140
correlated_fermions_non_hubbard,1400,0.0000156349,1.0000000000,0.0000000000,0.00,0.00,1192826159
correlated_fermions_non_hubbard,2100,0.0000104233,1.0000000000,-0.0222222222,0.00,0.00,1785026548
correlated_fermions_non_hubbard,2400,0.0000091204,1.0000000000,0.0666666667,0.00,0.00,2009513834
multi_state_excited_chemistry,700,0.0000261023,1.0000000000,0.0370370370,0.00,0.00,581730150
multi_state_excited_chemistry,1400,0.0000130511,1.0000000000,-0.0123456790,0.00,0.00,1164696499
multi_state_excited_chemistry,2100,0.0000087008,1.0000000000,-0.0123456790,0.00,0.00,1746516949
multi_state_excited_chemistry,2300,0.0000079442,1.0000000000,-0.2345679012,0.00,0.00,1906281206
bosonic_multimode_systems,700,0.0000221429,1.0000000000,-0.0250000000,0.00,0.00,579538540
bosonic_multimode_systems,1400,0.0000110714,1.0000000000,-0.0500000000,0.00,0.00,1159991140
bosonic_multimode_systems,2100,0.0000073810,1.0000000000,-0.1000000000,0.00,0.00,1741878549
bosonic_multimode_systems,2200,0.0000070455,1.0000000000,-0.0500000000,0.00,0.00,1830700648
multiscale_nonlinear_field_models,700,0.0000327381,1.0000000000,0.0833333333,0.00,0.00,584336119
multiscale_nonlinear_field_models,1400,0.0000163690,1.0000000000,-0.0208333333,0.00,0.00,1165215570
multiscale_nonlinear_field_models,2100,0.0000109127,1.0000000000,0.0833333333,0.00,0.00,1752313849
multiscale_nonlinear_field_models,2300,0.0000099638,1.0000000000,0.0208333333,0.00,0.00,1917094046
far_from_equilibrium_kinetic_lattices,700,0.0000275613,1.0000000000,-0.0505050505,0.00,0.00,581257480
far_from_equilibrium_kinetic_lattices,1400,0.0000137807,1.0000000000,-0.0505050505,0.00,0.00,1222429469
far_from_equilibrium_kinetic_lattices,2100,0.0000091871,1.0000000000,0.0303030303,0.00,0.00,1768641169
far_from_equilibrium_kinetic_lattices,2400,0.0000080387,1.0000000000,0.0303030303,0.00,0.00,2008022965
multi_correlated_fermion_boson_networks,700,0.0000244286,1.0000000000,0.0800000000,0.00,0.00,584465910
multi_correlated_fermion_boson_networks,1400,0.0000122143,1.0000000000,0.0800000000,0.00,0.00,1171202829
multi_correlated_fermion_boson_networks,2100,0.0000081429,1.0000000000,0.1200000000,0.00,0.00,1750035090
multi_correlated_fermion_boson_networks,2350,0.0000072766,1.0000000000,0.0600000000,0.00,0.00,1963163056
