problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.0704642093,-0.0704642093,0.0,0.0,0.9328802016,0.9328802016,0.0,0.0,1187786242,1092898409
correlated_fermions_non_hubbard,-0.1865079805,-0.1865079805,0.0,0.0,0.9512048623,0.9512048623,0.0,0.0,1300639631,1186024612
dense_nuclear_proxy,-0.0450423537,-0.0450423537,0.0,0.0,0.9487775861,0.9487775861,0.0,0.0,1039880465,1054520862
far_from_equilibrium_kinetic_lattices,-0.1732408341,-0.1732408341,0.0,0.0,0.9263699645,0.9263699645,0.0,0.0,1292761932,1220672189
hubbard_hts_core,-0.1426978513,-0.1426978513,0.0,0.0,0.9450982742,0.9450982742,0.0,0.0,1426190550,1431758931
multi_correlated_fermion_boson_networks,-0.20202595,-0.20202595,0.0,0.0,0.9473697227,0.9473697227,0.0,0.0,1212954729,1198928001
multi_state_excited_chemistry,-0.2928351493,-0.2928351493,0.0,0.0,0.9702019852,0.9702019852,0.0,0.0,1464858697,1115622078
multiscale_nonlinear_field_models,-0.2341092794,-0.2341092794,0.0,0.0,0.9303610515,0.9303610515,0.0,0.0,1323065969,1154271364
qcd_lattice_proxy,-0.0566371128,-0.0566371128,0.0,0.0,0.9183643772,0.9183643772,0.0,0.0,1135377976,1091581139
quantum_chemistry_proxy,-0.2803193978,-0.2803193978,0.0,0.0,0.9560868416,0.9560868416,0.0,0.0,1098818000,1088463810
quantum_field_noneq,-0.2039803879,-0.2039803879,0.0,0.0,0.8905726415,0.8905726415,0.0,0.0,1069052762,1036697214
spin_liquid_exotic,-0.1358075145,-0.1358075145,0.0,0.0,0.9733711359,0.9733711359,0.0,0.0,1323977229,1314638571
topological_correlated_materials,-0.206112866,-0.206112866,0.0,0.0,0.9639680167,0.9639680167,0.0,0.0,1365163225,1234079898
