step,energy,invariant_density,regime
227,860.00,5.4815,1
228,855.00,5.4643,1
229,850.00,5.5862,1
230,845.00,5.5667,1
231,840.00,5.5806,1
232,835.00,5.5625,1
233,830.00,5.6667,1
234,825.00,5.6176,1
235,820.00,5.7714,1
236,815.00,5.8889,1
237,810.00,5.8649,1
238,805.00,5.8684,1
239,800.00,5.9487,1
240,795.00,6.1500,1
241,790.00,6.1220,1
242,785.00,6.1429,1
243,780.00,6.1163,1
244,775.00,6.0455,1
245,770.00,6.0667,1
246,765.00,6.0435,1
247,760.00,6.0851,1
248,755.00,6.1250,1
249,750.00,6.1633,1
250,745.00,6.1600,1
251,740.00,6.2353,1
252,735.00,6.2500,1
253,730.00,6.2075,1
254,725.00,6.1852,1
255,720.00,6.1818,1
256,715.00,6.1071,1
257,710.00,6.0702,1
258,705.00,6.0690,1
259,700.00,6.0339,1
260,695.00,6.0000,1
261,690.00,6.0164,1
262,685.00,6.0645,1
263,680.00,6.0476,1
264,675.00,6.0312,1
265,670.00,6.0000,1
266,665.00,6.0455,1
267,660.00,6.0149,1
268,655.00,5.9412,1
269,650.00,5.9275,1
270,645.00,5.9000,1
271,640.00,5.8732,1
272,635.00,5.8194,1
273,630.00,5.8219,1
274,625.00,5.7838,1
275,620.00,5.7600,1
276,615.00,5.7368,1
277,610.00,5.7403,1
278,605.00,5.6923,1
279,600.00,5.6709,1
280,595.00,5.6500,1
281,590.00,5.5926,1
282,585.00,5.5854,1
283,580.00,5.5783,1
284,575.00,5.5476,1
285,570.00,5.5882,1
286,565.00,5.5465,1
287,560.00,5.5172,1
288,555.00,5.5000,1
289,550.00,5.4607,1
290,545.00,5.4333,1
291,540.00,5.3956,1
292,535.00,5.3804,1
293,530.00,5.3333,1
294,525.00,5.3830,1
295,520.00,5.4105,1
296,515.00,5.3750,1
297,510.00,5.3402,1
298,505.00,5.2857,1
299,500.00,5.2626,1
300,495.00,5.2200,1
301,490.00,5.1980,1
302,485.00,5.1569,1
303,480.00,5.1456,1
304,475.00,5.1442,1
305,470.00,5.1238,1
306,465.00,5.1132,1
307,460.00,5.0841,1
308,455.00,5.0556,1
309,450.00,5.0275,1
310,445.00,4.9909,1
311,440.00,4.9640,1
312,435.00,4.9732,1
313,430.00,4.9469,1
314,425.00,4.9474,1
315,420.00,4.9391,1
316,415.00,4.9310,1
317,410.00,4.9060,1
318,405.00,4.8898,1
319,400.00,4.8655,1
320,395.00,4.8500,1
321,390.00,4.8347,1
322,385.00,4.8033,1
323,380.00,4.7724,1
324,375.00,4.7581,1
325,370.00,4.7360,1
326,365.00,4.7143,1
327,360.00,4.7087,1
328,355.00,4.7188,1
329,350.00,4.6899,1
330,345.00,4.6769,1
331,340.00,4.6565,1
332,335.00,4.6288,1
333,330.00,4.6015,1
334,325.00,4.5896,1
335,320.00,4.5630,1
336,315.00,4.5662,1
337,310.00,4.5474,1
338,305.00,4.5362,1
339,300.00,4.5108,1
340,295.00,4.4857,1
341,290.00,4.4752,1
342,285.00,4.4930,1
343,280.00,4.4965,1
344,275.00,4.5000,1
345,270.00,4.4966,1
346,265.00,4.4726,1
347,260.00,4.4558,1
348,255.00,4.4459,1
349,250.00,4.4430,1
350,245.00,4.4333,1
351,240.00,4.4238,1
352,235.00,4.4145,1
353,230.00,4.3922,1
354,225.00,4.3766,1
355,220.00,4.3613,1
356,215.00,4.3333,1
357,210.00,4.3185,1
358,205.00,4.3038,1
359,200.00,4.2893,1
360,195.00,4.2812,1
361,190.00,4.2671,1
362,185.00,4.2593,1
363,180.00,4.2331,1
364,175.00,4.2195,1
365,170.00,4.2121,1
366,165.00,4.2048,1
367,160.00,4.1916,1
368,155.00,4.1845,1
369,150.00,4.1657,1
370,145.00,4.1471,1
371,140.00,4.1462,1
372,135.00,4.1337,1
373,130.00,4.1214,1
374,125.00,4.1034,1
375,120.00,4.0914,1
376,115.00,4.0795,1
377,110.00,4.0678,1
378,105.00,4.0506,1
379,100.00,4.0335,1
380,95.00,4.0111,1
381,90.00,4.0110,1
382,85.00,3.9945,1
383,80.00,3.9891,1
384,75.00,3.9728,1
385,70.00,3.9622,1
386,65.00,3.9516,1
387,60.00,3.9358,1
388,55.00,3.9202,1
389,50.00,3.9206,1
390,45.00,3.9105,1
391,40.00,3.9110,1
392,35.00,3.9010,1
393,30.00,3.8912,1
394,25.00,3.8814,1
395,20.00,3.8821,1
396,15.00,3.8673,1
397,10.00,3.8629,1
398,5.00,3.8535,1
399,0.00,3.0000,3
400,-5.00,4.0000,3
401,-10.00,3.3333,3
402,-15.00,3.0000,3
403,-20.00,3.0000,3
404,-25.00,2.8333,3
405,-30.00,2.5714,3
406,-35.00,2.5000,3
407,-40.00,2.2222,3
408,-45.00,2.0000,3
409,-50.00,1.8182,3
410,-55.00,2.0000,3
411,-60.00,1.9231,3
412,-65.00,1.8571,3
413,-70.00,1.8667,3
414,-75.00,1.8125,3
415,-80.00,1.7647,3
416,-85.00,1.7778,3
417,-90.00,1.8421,3
418,-95.00,1.9000,3
