problem,fullscale_energy,advanced_energy,delta_energy,delta_energy_pct,fullscale_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,fullscale_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,1.2867385334,1.2867385334,0.0,0.0,0.5996257437,0.5996257437,0.0,0.0,1795300025,16643650
correlated_fermions_non_hubbard,2.1335664699,2.1335664699,0.0,0.0,0.6883312195,0.6883312195,0.0,0.0,1950784201,20473610
dense_nuclear_fullscale,2.7096749256,2.7096749256,0.0,0.0,0.6742937373,0.6742937373,0.0,0.0,1705387337,14781310
far_from_equilibrium_kinetic_lattices,1.984457584,1.984457584,0.0,0.0,0.5392279526,0.5392279526,0.0,0.0,1943745351,22602480
hubbard_hts_core,1.9847211096,1.9847211096,0.0,0.0,0.6710523185,0.6710523185,0.0,0.0,2297620412,27433949
multi_correlated_fermion_boson_networks,1.8374762322,1.8374762322,0.0,0.0,0.6641954486,0.6641954486,0.0,0.0,1939699571,22506549
multi_state_excited_chemistry,1.6944832679,1.6944832679,0.0,0.0,0.8048825384,0.8048825384,0.0,0.0,1937669341,17717540
multiscale_nonlinear_field_models,2.284663283,2.284663283,0.0,0.0,0.6022507361,0.6022507361,0.0,0.0,1869111382,20786020
qcd_lattice_fullscale,2.2213200331,2.2213200331,0.0,0.0,0.5257032147,0.5257032147,0.0,0.0,1774263785,17105370
quantum_chemistry_fullscale,1.6206796268,1.6206796268,0.0,0.0,0.7265527427,0.7265527427,0.0,0.0,1810854174,12259949
quantum_field_noneq,1.7379608594,1.7379608594,0.0,0.0,0.3942168897,0.3942168897,0.0,0.0,1693419357,13525600
spin_liquid_exotic,2.6034391697,2.6034391697,0.0,0.0,0.8084269021,0.8084269021,0.0,0.0,2106617657,29594400
topological_correlated_materials,1.9389457561,1.9389457561,0.0,0.0,0.7725687452,0.7725687452,0.0,0.0,2026752598,28622669
