problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,-0.0104000000,0.2407834265,-0.0200000000,0.00,0.00,583042951
hubbard_hts_core,1400,-0.0104000000,0.2407834265,0.0600000000,0.00,0.00,1169425754
hubbard_hts_core,2100,-0.0104000000,0.2407834265,0.0600000000,0.00,0.00,1750702704
hubbard_hts_core,2800,-0.0104000000,0.2407834265,0.0200000000,0.00,0.00,2344114706
qcd_lattice_fullscale,700,-0.0106233806,0.1198189490,0.0617283951,0.00,0.00,582479001
qcd_lattice_fullscale,1400,-0.0106233806,0.1198189490,0.1851851852,0.00,0.00,1162886793
qcd_lattice_fullscale,2100,-0.0106233806,0.1198189490,-0.0370370370,0.00,0.00,1743006995
qcd_lattice_fullscale,2200,-0.0106233806,0.1198189490,-0.0864197531,0.00,0.00,1816686774
quantum_field_noneq,700,-0.0198242188,0.0658457361,0.0937500000,0.00,0.00,580535962
quantum_field_noneq,1400,-0.0198242188,0.0658457361,-0.1562500000,0.00,0.00,1161771973
quantum_field_noneq,2100,-0.0198242188,0.0658457361,-0.0625000000,0.00,0.00,1736930775
quantum_field_noneq,2100,-0.0198242188,0.0658457361,-0.0625000000,0.00,0.00,1755211574
dense_nuclear_fullscale,700,-0.0152777778,0.3043995762,-0.0833333333,0.00,0.00,579687972
dense_nuclear_fullscale,1400,-0.0152777778,0.3043995762,-0.0555555556,0.00,0.00,1157417723
dense_nuclear_fullscale,2100,-0.0152777778,0.3043995762,-0.1388888889,0.00,0.00,1738972425
dense_nuclear_fullscale,2100,-0.0152777778,0.3043995762,-0.1388888889,0.00,0.00,1739985625
quantum_chemistry_fullscale,700,-0.0316326531,0.4143216295,-0.1071428571,0.00,0.00,577377561
quantum_chemistry_fullscale,1400,-0.0316326531,0.4143216295,0.0000000000,0.00,0.00,1159285204
quantum_chemistry_fullscale,2100,-0.0316326531,0.4143216295,0.3214285714,0.00,0.00,1735180644
quantum_chemistry_fullscale,2200,-0.0316326531,0.4143216295,-0.0714285714,0.00,0.00,1828153664
spin_liquid_exotic,700,-0.0085000000,0.4479407290,0.0666666667,0.00,0.00,583137741
spin_liquid_exotic,1400,-0.0085000000,0.4479407290,0.0166666667,0.00,0.00,1164824553
spin_liquid_exotic,2100,-0.0085000000,0.4479407290,-0.0500000000,0.00,0.00,1746308505
spin_liquid_exotic,2600,-0.0085000000,0.4479407290,0.0500000000,0.00,0.00,2162788928
topological_correlated_materials,700,-0.0096543952,0.3507768488,-0.0413223140,0.00,0.00,582102382
topological_correlated_materials,1400,-0.0096543952,0.3507768488,0.0247933884,0.00,0.00,1165474083
topological_correlated_materials,2100,-0.0096543952,0.3507768488,0.0578512397,0.00,0.00,1823406156
topological_correlated_materials,2500,-0.0096543952,0.3507768488,0.0082644628,0.00,0.00,2133499340
correlated_fermions_non_hubbard,700,-0.0144444444,0.2815015687,0.0888888889,0.00,0.00,583049873
correlated_fermions_non_hubbard,1400,-0.0144444444,0.2815015687,0.0000000000,0.00,0.00,1159751005
correlated_fermions_non_hubbard,2100,-0.0144444444,0.2815015687,0.0666666667,0.00,0.00,1741604854
correlated_fermions_non_hubbard,2400,-0.0144444444,0.2815015687,0.2666666667,0.00,0.00,1989732762
multi_state_excited_chemistry,700,-0.0182624600,0.4990862130,0.1111111111,0.00,0.00,583136431
multi_state_excited_chemistry,1400,-0.0182624600,0.4990862130,-0.0617283951,0.00,0.00,1173754843
multi_state_excited_chemistry,2100,-0.0182624600,0.4990862130,-0.1111111111,0.00,0.00,1813832944
multi_state_excited_chemistry,2300,-0.0182624600,0.4990862130,-0.0864197531,0.00,0.00,1994353471
bosonic_multimode_systems,700,-0.0086250000,0.1910897803,0.0250000000,0.00,0.00,599486951
bosonic_multimode_systems,1400,-0.0086250000,0.1910897803,-0.0500000000,0.00,0.00,1169833523
bosonic_multimode_systems,2100,-0.0086250000,0.1910897803,0.0500000000,0.00,0.00,1769993715
bosonic_multimode_systems,2200,-0.0086250000,0.1910897803,0.0750000000,0.00,0.00,1838719663
multiscale_nonlinear_field_models,700,-0.0156250000,0.1510284423,-0.1250000000,0.00,0.00,584324272
multiscale_nonlinear_field_models,1400,-0.0156250000,0.1510284423,-0.1666666667,0.00,0.00,1165235073
multiscale_nonlinear_field_models,2100,-0.0156250000,0.1510284423,0.2083333333,0.00,0.00,1750317554
multiscale_nonlinear_field_models,2300,-0.0156250000,0.1510284423,-0.0208333333,0.00,0.00,1917525783
far_from_equilibrium_kinetic_lattices,700,-0.0094796449,0.1035907984,-0.0707070707,0.00,0.00,580419381
far_from_equilibrium_kinetic_lattices,1400,-0.0094796449,0.1035907984,0.0505050505,0.00,0.00,1179089903
far_from_equilibrium_kinetic_lattices,2100,-0.0094796449,0.1035907984,0.0303030303,0.00,0.00,1745392475
far_from_equilibrium_kinetic_lattices,2400,-0.0094796449,0.1035907984,0.0101010101,0.00,0.00,2007258451
multi_correlated_fermion_boson_networks,700,-0.0093800000,0.2239866950,-0.0200000000,0.00,0.00,581566042
multi_correlated_fermion_boson_networks,1400,-0.0093800000,0.2239866950,-0.1000000000,0.00,0.00,1162723453
multi_correlated_fermion_boson_networks,2100,-0.0093800000,0.2239866950,0.0000000000,0.00,0.00,1752879435
multi_correlated_fermion_boson_networks,2350,-0.0093800000,0.2239866950,0.0000000000,0.00,0.00,1944293972
