problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-70464.2094909906,-0.0704642093,70464.1390267813,99.99990000000027,0.9328802016,0.9328802016,0.0,0.0,1024426559,1087487348
correlated_fermions_non_hubbard,-186507.9805601057,-0.1865079805,186507.7940521252,99.99990000000003,0.9512048623,0.9512048623,0.0,0.0,1174189273,1219996190
dense_nuclear_proxy,-45042.3537131188,-0.0450423537,45042.3086707651,99.99990000000004,0.9487775861,0.9487775861,0.0,0.0,1014372705,1063908052
far_from_equilibrium_kinetic_lattices,-173240.834283998,-0.1732408341,173240.6610431639,99.99990000000011,0.9263699645,0.9263699645,0.0,0.0,1137903224,1172735688
hubbard_hts_core,-142697.8514663037,-0.1426978513,142697.7087684524,99.99990000000012,0.9450982742,0.9450982742,0.0,0.0,1363838555,1384967767
multi_correlated_fermion_boson_networks,-202025.9501555131,-0.20202595,202025.7481295631,99.99990000000008,0.9473697227,0.9473697227,0.0,0.0,1171513712,1173870420
multi_state_excited_chemistry,-292835.149496829,-0.2928351493,292834.85666167975,99.99990000000008,0.9702019852,0.9702019852,0.0,0.0,1099454362,1236509276
multiscale_nonlinear_field_models,-234109.2795326149,-0.2341092794,234109.04542333548,99.99990000000005,0.9303610515,0.9303610515,0.0,0.0,1074917000,1134006069
qcd_lattice_proxy,-56637.1128443106,-0.0566371128,56637.0562071978,99.99990000000008,0.9183643772,0.9183643772,0.0,0.0,1120188308,1082485693
quantum_chemistry_proxy,-280319.3979395192,-0.2803193978,280319.1176201214,99.99990000000005,0.9560868416,0.9560868416,0.0,0.0,1070790501,1175463266
quantum_field_noneq,-203980.3879832244,-0.2039803879,203980.18400283653,99.99990000000005,0.8905726415,0.8905726415,0.0,0.0,1007945225,1022472863
spin_liquid_exotic,-135807.5145709246,-0.1358075145,135807.3787634101,99.99990000000004,0.9733711359,0.9733711359,0.0,0.0,1258180426,1300457402
topological_correlated_materials,-206112.8661555674,-0.206112866,206112.6600427014,99.99990000000008,0.9639680167,0.9639680167,0.0,0.0,1210589302,1246668814
