problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-25.3327027517,99.7079476457,-0.0400000000,15.57,3.47,945740
hubbard_hts_core,100,-2451.4123879353,9934.2996379759,0.0081188119,15.58,3.47,68006800
hubbard_hts_core,200,-4724.5076812523,19659.1815747055,0.0046766169,15.58,3.47,136955374
hubbard_hts_core,300,-6808.2110964872,29302.6643065477,-0.0007308970,15.58,3.47,206524337
hubbard_hts_core,400,-8530.9327066274,38826.6333438222,-0.0010972569,15.59,3.47,273794906
hubbard_hts_core,500,-9785.9948651306,48223.7610279538,-0.0002794411,15.59,3.47,341823706
hubbard_hts_core,600,-10161.9532435754,57454.5108737258,0.0020299501,15.60,3.47,409521269
hubbard_hts_core,700,-8399.7725360135,66429.8916707475,0.0021968616,15.60,3.47,477029328
hubbard_hts_core,800,-2332.7247023032,75040.3018557645,0.0006991261,15.61,3.47,544868459
hubbard_hts_core,900,11814.6690405440,83221.9392671542,-0.0004661487,15.61,3.47,612175672
hubbard_hts_core,1000,36851.8126760151,90973.9205415079,-0.0011388611,15.61,3.47,679613442
hubbard_hts_core,1100,72291.8313531394,98299.1524595576,-0.0016893733,15.62,3.47,746712274
hubbard_hts_core,1200,117492.5124370022,105231.4488643268,-0.0023147377,15.62,3.47,812643792
hubbard_hts_core,1300,171059.7311766527,111853.8147306630,-0.0026594927,15.63,3.47,881876585
hubbard_hts_core,1400,232362.2082232313,118179.4199893170,-0.0026552463,15.63,3.47,948101438
hubbard_hts_core,1500,299221.7283896144,124254.9600090182,-0.0012791472,15.63,3.47,1016562792
hubbard_hts_core,1600,372047.0811679452,130128.8007914095,-0.0007245472,15.64,3.47,1082999591
hubbard_hts_core,1700,449428.9694101125,135873.8776394879,-0.0009876543,15.64,3.47,1149230671
hubbard_hts_core,1800,529480.0676372427,141543.1338851580,-0.0013659078,15.65,3.47,1216570756
hubbard_hts_core,1900,610844.0390047064,147173.5808651521,-0.0011783272,15.65,3.47,1281639452
hubbard_hts_core,2000,692631.7203196476,152787.7536017250,-0.0013093453,15.65,3.47,1346552025
hubbard_hts_core,2100,774576.8195894039,158396.0984008047,-0.0015801999,15.66,3.47,1411058388
hubbard_hts_core,2200,856623.4894955960,164004.9364296283,-0.0011812812,15.66,3.47,1477443569
hubbard_hts_core,2300,938628.1993568778,169622.9170062479,-0.0008604954,15.67,3.47,1545367189
hubbard_hts_core,2400,1020588.3524773844,175241.3776704389,-0.0008579758,15.67,3.47,1612667388
hubbard_hts_core,2500,1102668.0031888464,180854.0404636000,-0.0003198721,15.68,3.47,1679491261
hubbard_hts_core,2600,1184763.8047355812,186466.3728712836,-0.0006843522,15.68,3.47,1747155640
hubbard_hts_core,2700,1266799.9854127853,192079.9176118617,-0.0010218438,15.68,3.47,1813664492
qcd_lattice_proxy,0,-13.4302643999,80.6743673463,-0.0123456790,15.69,3.47,765316
qcd_lattice_proxy,100,-1342.5513610857,7968.9418456287,0.0023224545,15.69,3.47,67485624
qcd_lattice_proxy,200,-2504.1543443977,15727.5448640154,0.0069406056,15.69,3.47,133880242
qcd_lattice_proxy,300,-3507.4145767386,23397.0520978553,-0.0035683524,15.70,3.47,200964162
qcd_lattice_proxy,400,-4151.9349054425,30940.5767620948,-0.0036021058,15.70,3.47,267909543
qcd_lattice_proxy,500,-4182.2018802083,38346.5291974189,-0.0024888495,15.71,3.47,352688041
qcd_lattice_proxy,600,-3143.2581045032,45493.3302217902,-0.0040878371,15.71,3.47,436358213
qcd_lattice_proxy,700,134.8073673961,52327.1105806181,-0.0032933552,15.72,3.46,513166834
qcd_lattice_proxy,800,8028.8624579713,58711.5661253685,-0.0023581634,15.72,3.46,588781518
qcd_lattice_proxy,900,24998.1882587725,64535.7048031954,-0.0000685110,15.73,3.46,672958547
qcd_lattice_proxy,1000,53530.4968357184,69855.2645388427,0.0008263342,15.74,3.45,756332756
qcd_lattice_proxy,1100,93559.0261743740,74721.4726748191,0.0014240701,15.74,3.45,829272410
qcd_lattice_proxy,1200,142029.8238773366,79227.5501443485,0.0015316454,15.75,3.45,894643199
qcd_lattice_proxy,1300,195663.7860853985,83457.2277358470,0.0011482146,15.75,3.45,959961190
qcd_lattice_proxy,1400,253925.9622932329,87455.0021710732,0.0006785277,15.75,3.45,1025421782
qcd_lattice_proxy,1500,316792.1546957220,91256.3831456642,0.0013077701,15.76,3.45,1090443709
qcd_lattice_proxy,1600,383391.4893552750,94922.4183959933,0.0009176364,15.76,3.45,1156427240
qcd_lattice_proxy,1700,452089.2414997120,98516.6905926123,0.0025475211,15.77,3.45,1222987834
qcd_lattice_proxy,1800,522127.8135258561,102053.9303223734,0.0024060707,15.77,3.45,1288906695
qcd_lattice_proxy,1900,592975.4984153743,105565.5555872473,0.0012404128,15.77,3.45,1354855145
qcd_lattice_proxy,2000,664079.9767787742,109065.9701310677,0.0015239294,15.78,3.45,1420012323
qcd_lattice_proxy,2100,735070.0408036304,112566.2483598313,0.0016276788,15.78,3.45,1486263653
quantum_field_noneq,0,-18.0598910809,63.6972204345,-0.1250000000,15.79,3.45,750399
quantum_field_noneq,100,-2020.2454942677,6233.9620520749,-0.0126856436,15.79,3.45,76808342
quantum_field_noneq,200,-4000.0916051784,12325.0187002725,-0.0020211443,15.79,3.45,144136434
quantum_field_noneq,300,-5861.9630560513,18320.2644239003,-0.0020764120,15.80,3.43,211907557
quantum_field_noneq,400,-7520.7121781997,24156.1845952361,-0.0012468828,15.81,3.43,308758375
quantum_field_noneq,500,-8725.8612003430,29753.2637047355,-0.0016841317,15.81,3.43,381832402
quantum_field_noneq,600,-9064.6413370327,35067.5474781101,-0.0020278702,15.81,3.42,447496481
quantum_field_noneq,700,-7690.2392350140,40008.8849909592,-0.0057061341,15.82,3.42,514018384
quantum_field_noneq,800,-2869.1610235086,44498.8707575835,-0.0042134831,15.82,3.42,580132948
